Agrupación Política,Lista,Cargo,Género
LEALTAD Y DIGNIDAD,A SANTA FE PRIMERO,DIPUTADOS NACIONALES,Masculino
LEALTAD Y DIGNIDAD,B PRODUCCION Y JUSTICIA SOCIAL,DIPUTADOS NACIONALES,Masculino
LEALTAD Y DIGNIDAD,C LA NUEVA SANTA FE,DIPUTADOS NACIONALES,Masculino
LEALTAD Y DIGNIDAD,D CREZCAMOS POR SANTA FE,DIPUTADOS NACIONALES,Masculino
LEALTAD Y DIGNIDAD,E RECUPERANDO NUESTRA CULTURA,DIPUTADOS NACIONALES,Masculino
LEALTAD Y DIGNIDAD,F UNIDAD SANTAFESINA,DIPUTADOS NACIONALES,Masculino
LEALTAD Y DIGNIDAD,G POR LOS PRINCIPIOS SOCIALES,DIPUTADOS NACIONALES,Masculino
MOVIMIENTO INDEPENDIENTE RENOVADOR,1 A   DESARROLLO AGRO INDUSTRIAL,DIPUTADOS NACIONALES,Femenino
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,1A SANTA FE SEGURA,DIPUTADOS NACIONALES,Femenino
MOVIMIENTO LIBRES DEL SUR,A. AZUL Y ROJO,DIPUTADOS NACIONALES,Femenino
PARTIDO AUTONOMISTA,1A  AUTONOMISTA EN MARCHA,DIPUTADOS NACIONALES,Masculino
PARTIDO AUTONOMISTA,2B  DIGNIDAD ANIMAL,DIPUTADOS NACIONALES,Masculino
PARTIDO AUTONOMISTA,3C  RENACER,DIPUTADOS NACIONALES,Masculino
PARTIDO AUTONOMISTA,4D  FUTURO MEJOR,DIPUTADOS NACIONALES,Femenino
PARTIDO FE,1A   SIEMPRE CON FE,DIPUTADOS NACIONALES,Masculino
PARTIDO FE,2B   VAMOS CON FE,DIPUTADOS NACIONALES,Femenino
PARTIDO FE,3C  NUEVO HORIZONTE,DIPUTADOS NACIONALES,Masculino
POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,LISTA A CON LOS MISMOS NO,DIPUTADOS NACIONALES,Masculino
POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,LISTA B PRIMERO SANTA FE,DIPUTADOS NACIONALES,Femenino
PROYECTO JOVEN,A   PATRIA UNIDA,DIPUTADOS NACIONALES,Masculino
PROYECTO JOVEN,B   FRENTE JOVEN,DIPUTADOS NACIONALES,Masculino
PROYECTO JOVEN,C   PATRIA Y FUTURO,DIPUTADOS NACIONALES,Masculino
ENCUENTRO REPUBLICANO FEDERAL,DESPIERTA SANTIAGO,DIPUTADOS NACIONALES,Masculino
ENCUENTRO REPUBLICANO FEDERAL,MOVIMIENTO VIABLE,DIPUTADOS NACIONALES,Masculino
FRENTE CIVICO POR SANTIAGO,TODOS POR SANTIAGO,DIPUTADOS NACIONALES,Masculino
FRENTE PATRIOTA FEDERAL,PATRIOTAS,DIPUTADOS NACIONALES,Masculino
FRENTE RENOVADOR,HAY ALTERNATIVA,DIPUTADOS NACIONALES,Masculino
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,Femenino
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,DIPUTADOS NACIONALES,Masculino
NUEVA IZQUIERDA,A UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,Femenino
PARTIDO AUTONOMISTA,A 9 DE JULIO,DIPUTADOS NACIONALES,Masculino
PARTIDO AUTONOMISTA,B SANTIAGO LO MERECE,DIPUTADOS NACIONALES,Femenino
PARTIDO AUTONOMISTA,C SANTIAGO AUTONOMISTA,DIPUTADOS NACIONALES,Femenino
PARTIDO AUTONOMISTA,D PATRIA GRANDE,DIPUTADOS NACIONALES,Masculino
PARTIDO LABORISTA,LIBERTAD Y TRABAJO,DIPUTADOS NACIONALES,Femenino
PARTIDO UNION CELESTE Y BLANCO,LA LIBERTAD AVANZA,DIPUTADOS NACIONALES,Femenino
POLITICA OBRERA,UNIDAD OBRERA,DIPUTADOS NACIONALES,Femenino
PRINCIPIOS Y VALORES,A VOCES LIBERTARIAS SDE,DIPUTADOS NACIONALES,Masculino
PRINCIPIOS Y VALORES,C POR LOS VALORES,DIPUTADOS NACIONALES,Masculino
PROYECTO JOVEN,JOVENES EN ACCION,DIPUTADOS NACIONALES,Masculino
TRES BANDERAS,INDEPENDENCIA,DIPUTADOS NACIONALES,Masculino
TRES BANDERAS,POR LA JUSTICIA,DIPUTADOS NACIONALES,Masculino
TRES BANDERAS,SOBERANIA,DIPUTADOS NACIONALES,Masculino
ALIANZA FRENTE DE IZQUIERDA DE TRABAJADORES - UNIDAD,UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,Femenino
ALIANZA FRENTE DE IZQUIERDA DE TRABAJADORES - UNIDAD,UNIR Y FORTALECER LA IZQUIERDA 1 A,DIPUTADOS NACIONALES,Femenino
ALIANZA HACEMOS POR NUESTRO PAÍS,HACEMOS,DIPUTADOS NACIONALES,Masculino
ALIANZA JUNTOS POR EL CAMBIO TDF,EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,Masculino
ALIANZA JUNTOS POR EL CAMBIO TDF,LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,Masculino
ALIANZA UNIÓN POR LA PATRIA,LISTA CELESTE Y BLANCA,DIPUTADOS NACIONALES,Femenino
MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA,DIPUTADOS NACIONALES,Masculino
REPUBLICANOS UNIDOS,FUEGUINOS,DIPUTADOS NACIONALES,Masculino
SOMOS FUEGUINOS,167 A PRIMERO TIERRA DEL FUEGO,DIPUTADOS NACIONALES,Femenino
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA,DIPUTADOS NACIONALES,Femenino
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,Masculino
FRENTE UNION POR LA PATRIA,CELESTE Y BLANCA,DIPUTADOS NACIONALES,Masculino
FUERZA REPUBLICANA,CELESTE Y BLANCA,DIPUTADOS NACIONALES,Masculino
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,Masculino
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,Masculino
MOVIMIENTO LIBRES DEL SUR,PRIMERO TUCUMAN,DIPUTADOS NACIONALES,Masculino
POLITICA OBRERA,UNIDAD OBRERA,DIPUTADOS NACIONALES,Femenino
