Agrupación Política,Lista,Cargo,Género
UNIÓN POR LA PATRIA,K UNION POR CHUBUT,DIPUTADOS NACIONALES,Masculino
APTITUD RENOVADORA,A HACEMOS POR NUESTRA CIUDAD,DIPUTADOS NACIONALES,Masculino
EL MOVIMIENTO,B DEMOS,DIPUTADOS NACIONALES,Femenino
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA,DIPUTADOS NACIONALES,Masculino
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,Femenino
FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,DIPUTADOS NACIONALES,Masculino
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS A,DIPUTADOS NACIONALES,Masculino
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO B,DIPUTADOS NACIONALES,Masculino
LA IZQUIERDA EN LA CIUDAD,A IZQUIERDA ANTICAPITALISTA   A,DIPUTADOS NACIONALES,Masculino
LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,DIPUTADOS NACIONALES,Femenino
MOVIMIENTO DE JUBILADOS Y JUVENTUD,A TOLERANCIA,DIPUTADOS NACIONALES,Masculino
MOVIMIENTO LIBRES DEL SUR,LISTA A AZUL Y ROJO,DIPUTADOS NACIONALES,Femenino
PARTIDO DEMOCRATA CRISTIANO,HACEMOS POR CABA,DIPUTADOS NACIONALES,Masculino
POLíTICA OBRERA,A UNIDAD OBRERA,DIPUTADOS NACIONALES,Masculino
PRINCIPIOS Y VALORES,A GOBERNAR ES CREAR TRABAJO,DIPUTADOS NACIONALES,Femenino
REPUBLICANOS UNIDOS,A REPUBLICANOS,DIPUTADOS NACIONALES,Masculino
UNION POR LA PATRIA,A ALTERNATIVA PARA GANAR BUENOS AIRES,DIPUTADOS NACIONALES,Femenino
ESTAMOS,LA INMENSA MINORìA,DIPUTADOS NACIONALES,Masculino
FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,UNIDAD DE LUCHADORES Y LA IZQUIERDA B,DIPUTADOS NACIONALES,Femenino
FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,UNIR Y FORTALECER LA IZQUIERDA A,DIPUTADOS NACIONALES,Femenino
FRENTE FEDERAL DE ACCION SOLIDARIA,FRENTE FEDERAL CORDOBA,DIPUTADOS NACIONALES,Masculino
HACEMOS POR NUESTRO PAIS,HACEMOS UNIDOS POR CORDOBA   A,DIPUTADOS NACIONALES,Masculino
HUMANISTA,A CORDOBA HUMANISTA,DIPUTADOS NACIONALES,Masculino
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS A,DIPUTADOS NACIONALES,Masculino
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO C,DIPUTADOS NACIONALES,Masculino
JUNTOS POR EL CAMBIO,UNIDAD POR EL CAMBIO,DIPUTADOS NACIONALES,Masculino
LA LIBERTAD AVANZA,VIVA LA LIBERTAD,DIPUTADOS NACIONALES,Femenino
LA LIBERTAD PRIMERO,LA LIBERTAD PRIMERO,DIPUTADOS NACIONALES,Masculino
MOVIMIENTO AVANZADA SOCIALISTA,IZQUIERDA ANTICAPITALISTA    A,DIPUTADOS NACIONALES,Femenino
MOVIMIENTO DE ACCION VECINAL,COMPROMISO VECINAL LISTA A,DIPUTADOS NACIONALES,Masculino
