,code,nombre,candidatos,votos,perc,percAbs,mapa_scopes_scopeId,mapa_scopes_name,mapa_scopes_partidos_name,mapa_scopes_partidos_code
28,3001,A- HACEMOS,"['JUAN SCHIARETTI', 'FLORENCIO RANDAZZO']",3530.0,100.0,1.62,000000000000000000000020,Catamarca,HACEMOS POR NUESTRO PAIS,133
29,3010,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,"['GABRIEL ESTEBAN SOLANO', 'VILMA RIPOLL']",1580.0,56.38,0.72,000000000000000000000020,Catamarca,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,136
30,3009,A- UNIR Y FORTALECER LA IZQUIERDA,"['MYRIAM TERESA BREGMAN', 'NICOLAS DEL CAÑO']",1222.0,43.61,0.56,000000000000000000000020,Catamarca,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,136
31,3019,A- AZUL Y ROJO,"['JESUS ARNALDO ESCOBAR', 'MARIANELLA LEZAMA HID']",1245.0,100.0,0.57,000000000000000000000020,Catamarca,MOVIMIENTO LIBRES DEL SUR,40
32,3020,A- UNIDAD OBRERA,"['MARCELO ARMANDO RAMAL', 'PATRICIA URONES']",745.0,100.0,0.34,000000000000000000000020,Catamarca,POLITICA OBRERA,92
33,3027,B- CONFEDERAL,"['GABRIEL SANTIAGO CÚNEO', 'GUSTAVO BARRANCO']",323.0,55.02,0.14,000000000000000000000020,Catamarca,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,90
34,3026,A- DIGNIDAD,"['RAUL ANIBAL CASTELLS', 'ADRIANA REINOSO']",264.0,44.97,0.12,000000000000000000000020,Catamarca,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,90
35,3017,A- IZQUIERDA ANTICAPITALISTA,"['MANUELA JIMENA CASTAÑEIRA', 'LUCAS RUIZ']",557.0,100.0,0.25,000000000000000000000020,Catamarca,MOVIMIENTO AL SOCIALISMO,13
36,3021,A- PRIMERO LA PATRIA,"['ALEJANDRO CESAR BIONDINI', 'MARIEL AVENDAÑO']",394.0,100.0,0.18,000000000000000000000020,Catamarca,FRENTE PATRIOTA FEDERAL,95
37,3025,A- COMPROMISO VECINAL,"['RAUL HUMBERTO ALBARRACIN', 'SERGIO PASTORE']",385.0,100.0,0.17,000000000000000000000020,Catamarca,MOVIMIENTO DE ACCION VECINAL,57
38,3011,"1A- TIERRA, TECHO  Y TRABAJO","['MARIO GUILLERMO MORENO', 'LEONARDO RUBEN FABRE']",67.0,82.71,0.03,000000000000000000000020,Catamarca,PRINCIPIOS Y VALORES,137
39,3012,2B- TRANSFORMAR,"['ELIODORO MARTINEZ', 'VICENTE SOUTO']",7.0,8.64,0.01,000000000000000000000020,Catamarca,PRINCIPIOS Y VALORES,137
40,3013,3C- TRES BANDERAS,"['JORGE EDUARDO OLIVER', 'EZEQUIEL BRITOS SAN MARTIN']",3.0,3.7,0.01,000000000000000000000020,Catamarca,PRINCIPIOS Y VALORES,137
41,3014,4D- GENTE DE TRABAJO,"['CARINA PAOLA BARTOLINI', 'MABEL GOMEZ']",3.0,3.7,0.01,000000000000000000000020,Catamarca,PRINCIPIOS Y VALORES,137
42,3015,5E- LABORISTA,"['PAULA LORENA ARIAS', 'WALTER VERA']",1.0,1.23,0.01,000000000000000000000020,Catamarca,PRINCIPIOS Y VALORES,137
43,3004,C- ANTICORRUPCIÓN,"['JULIO DONATO BARBARO', 'RAMONA PUCHETA']",57.0,87.69,0.02,000000000000000000000020,Catamarca,FRENTE LIBER.AR,131
