,Agrupación Política,Lista,Cargo,Posicion,Genero
2212,MOVIMIENTO AVANZADA SOCIALISTA,IZQUIERDA ANTICAPITALISTA    A,DIPUTADOS NACIONALES,1,Femenino
2230,MOVIMIENTO DE ACCION VECINAL,COMPROMISO VECINAL LISTA A,DIPUTADOS NACIONALES,1,Masculino
2248,MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO A,DIPUTADOS NACIONALES,1,Femenino
2266,PROYECTO JOVEN,CENTRO Y NORTE SUR UNIDOS,DIPUTADOS NACIONALES,1,Masculino
2283,PROYECTO JOVEN,NUEVAS IDEAS LISTA C,DIPUTADOS NACIONALES,1,Masculino
2301,PROYECTO JOVEN,UNIDOS  LISTA  A,DIPUTADOS NACIONALES,1,Masculino
2319,UNION POPULAR FEDERAL,CIUDADANOS C,DIPUTADOS NACIONALES,1,Masculino
2334,UNION POPULAR FEDERAL,POPULARES CBA   F,DIPUTADOS NACIONALES,1,Femenino
2352,UNION POPULAR FEDERAL,"POR CLUB, CAPILLA Y COLEGIO   A",DIPUTADOS NACIONALES,1,Masculino
2370,UNION POPULAR FEDERAL,PRODUCCIÓN Y TRABAJO   D ,DIPUTADOS NACIONALES,1,Masculino
2388,UNION POPULAR FEDERAL,UNIDOS POR LA GENTE   B,DIPUTADOS NACIONALES,1,Masculino
2406,UNION POR LA PATRIA,CELESTE Y BLANCA   A,DIPUTADOS NACIONALES,1,Femenino
2424,UNITE POR LA LIBERTAD Y LA DIGNIDAD,CAMPO POPULAR B,DIPUTADOS NACIONALES,1,Femenino
2442,UNITE POR LA LIBERTAD Y LA DIGNIDAD,DEMOS A,DIPUTADOS NACIONALES,1,Masculino
2460,COMPROMISO FEDERAL,EVOLUCION Y PROGRESO,DIPUTADOS NACIONALES,1,Masculino
2468,ENCUENTRO POR CORRIENTES - ECO + VAMOS CORRIENTES,VERDE,DIPUTADOS NACIONALES,1,Masculino
2478,HACEMOS POR NUESTRO PAIS,FORO SOCIALCRISTIANO,DIPUTADOS NACIONALES,1,Femenino
2488,HACEMOS POR NUESTRO PAIS,HACEMOS JUNTOS,DIPUTADOS NACIONALES,1,Femenino
2498,LA LIBERTAD AVANZA,VIVA LA LIBERTAD,DIPUTADOS NACIONALES,1,Masculino
2508,"MOV. INTEG. LATIONAMERICANA DE EXPRESION SOCIAL POR TIERRA, TECHO Y TRABAJO (MILES TTT)",PRINCIPIOS Y VALORES,DIPUTADOS NACIONALES,1,Masculino
2518,MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,DIPUTADOS NACIONALES,1,Masculino
2528,PARTIDO LIBERTARIO,UNIDAD Y COMPROMISO,DIPUTADOS NACIONALES,1,Masculino
2534,UNION POR LA PATRIA,CELESTE Y BLANCA,DIPUTADOS NACIONALES,1,Femenino
2544,JUNTOS POR ENTRE RIOS,AHORA ENTRE RíOS,DIPUTADOS NACIONALES,1,Masculino
2554,LA LIBERTAD AVANZA,LA LIBERTAD POR SIEMPRE,DIPUTADOS NACIONALES,1,Masculino
2563,MAS PARA ENTRE RIOS,2 MAS PARA ENTRE RIOS,DIPUTADOS NACIONALES,1,Masculino
2573,MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA,DIPUTADOS NACIONALES,1,Masculino
2583,NUEVA IZQUIERDA,1A UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,1,Masculino
2593,JUNTOS POR EL CAMBIO,#PODES CONFIAR ESTAMOS CON VOS,DIPUTADOS NACIONALES,1,Femenino
2602,JUNTOS POR EL CAMBIO,#PODES CONFIAR ESTAMOS CON VOS,SENADORES NACIONALES,1,Masculino
2606,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,1,Masculino
2615,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,SENADORES NACIONALES,1,Masculino
2619,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,DIPUTADOS NACIONALES,1,Masculino
2628,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,SENADORES NACIONALES,1,Masculino
2632,LA NUEVA INDEPENDENCIA,MILITANTES AMIGOS,DIPUTADOS NACIONALES,1,Masculino
2638,MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,DIPUTADOS NACIONALES,1,Femenino
2647,MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,SENADORES NACIONALES,1,Masculino
2651,UNION POR LA PATRIA,"LISTA 2 CELESTE, BLANCA Y AZUL",DIPUTADOS NACIONALES,1,Femenino
2660,UNION POR LA PATRIA,"LISTA 2 CELESTE, BLANCA Y AZUL",SENADORES NACIONALES,1,Masculino
2664,CAMBIA JUJUY,LISTA A SIGAMOS CAMBIANDO JUJUY,DIPUTADOS NACIONALES,1,Masculino
2673,CAMBIA JUJUY,LISTA A SIGAMOS CAMBIANDO JUJUY,SENADORES NACIONALES,1,Masculino
2677,CAMBIA JUJUY,LISTA B LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,1,Femenino
2686,CAMBIA JUJUY,LISTA B LA FUERZA DEL CAMBIO,SENADORES NACIONALES,1,Femenino
2690,CAMBIA JUJUY,LISTA C UNIR AL CAMBIO,DIPUTADOS NACIONALES,1,Masculino
2698,CAMBIA JUJUY,LISTA C UNIR AL CAMBIO,SENADORES NACIONALES,1,Femenino
2701,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,A UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,1,Femenino
2710,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,A UNIDAD DE LUCHADORES Y LA IZQUIERDA,SENADORES NACIONALES,1,Masculino
2714,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,UNIR Y FORTALECER LA IZQUIERDA 1A,DIPUTADOS NACIONALES,1,Femenino
2723,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,UNIR Y FORTALECER LA IZQUIERDA 1A,SENADORES NACIONALES,1,Masculino
2727,HACEMOS POR NUESTRO PAIS,HACEMOS POR JUJUY,DIPUTADOS NACIONALES,1,Masculino
2736,HACEMOS POR NUESTRO PAIS,HACEMOS POR JUJUY,SENADORES NACIONALES,1,Masculino
2740,MOVIMIENTO INTEGRACIóN LATINOAMERICANA DE EXPRESIóN SOCIAL-M.I.L.E.S.,JUJUY TIENE FUTURO CON PRINCIPIOS Y VALORES,DIPUTADOS NACIONALES,1,Femenino
2748,MOVIMIENTO INTEGRACIóN LATINOAMERICANA DE EXPRESIóN SOCIAL-M.I.L.E.S.,JUJUY TIENE FUTURO CON PRINCIPIOS Y VALORES,SENADORES NACIONALES,1,Masculino
2752,PARTIDO RENOVADOR FEDERAL,LIBERTAD JUJUY 1A,DIPUTADOS NACIONALES,1,Masculino
2761,PARTIDO RENOVADOR FEDERAL,LIBERTAD JUJUY 1A,SENADORES NACIONALES,1,Masculino
2765,UNION POR LA PATRIA,CELESTE Y BLANCA,DIPUTADOS NACIONALES,1,Masculino
2774,UNION POR LA PATRIA,CELESTE Y BLANCA,SENADORES NACIONALES,1,Masculino
2778,UNION POR LA PATRIA,UNIDAD RENOVADORA,DIPUTADOS NACIONALES,1,Masculino
2787,UNION POR LA PATRIA,UNIDAD RENOVADORA,SENADORES NACIONALES,1,Femenino
2791,UNION POR LA PATRIA,UNION POR JUJUY,DIPUTADOS NACIONALES,1,Masculino
2800,UNION POR LA PATRIA,UNION POR JUJUY,SENADORES NACIONALES,1,Femenino
2804,FRENTE DE IZQUIERDA Y DE TRABAJADORES,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,1,Masculino
2811,FRENTE DE IZQUIERDA Y DE TRABAJADORES,UNIR Y FORTALECER LA IZQUIERDA 1A,DIPUTADOS NACIONALES,1,Femenino
2818,JUNTOS POR EL CAMBIO,JUNTOS POR LA PAMPA,DIPUTADOS NACIONALES,1,Masculino
2825,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,1,Masculino
2832,MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA,DIPUTADOS NACIONALES,1,Femenino
2839,UNION POR LA PATRIA,CONSENSO PERONISTA,DIPUTADOS NACIONALES,1,Masculino
2846,DEMOCRATA CRISTIANO,HACEMOS UNIDOS POR LA RIOJA,DIPUTADOS NACIONALES,1,Masculino
2855,DEMOCRATA CRISTIANO,HACEMOS UNIDOS POR LA RIOJA,SENADORES NACIONALES,1,Masculino
2859,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD, UNIDAD DE LUCHADORES Y  LA IZQUIERDA,DIPUTADOS NACIONALES,1,Femenino
2868,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD, UNIDAD DE LUCHADORES Y  LA IZQUIERDA,SENADORES NACIONALES,1,Masculino
2872,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,UNIR Y FORTALECER LA IZQUIERDA 1A,DIPUTADOS NACIONALES,1,Femenino
2881,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,UNIR Y FORTALECER LA IZQUIERDA 1A,SENADORES NACIONALES,1,Masculino
2885,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS A,DIPUTADOS NACIONALES,1,Masculino
2894,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS A,SENADORES NACIONALES,1,Masculino
2898,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO B,DIPUTADOS NACIONALES,1,Femenino
2907,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO B,SENADORES NACIONALES,1,Masculino
2911,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,DIPUTADOS NACIONALES,1,Masculino
2920,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,SENADORES NACIONALES,1,Masculino
2924,PROYECTO JOVEN,DEMOS LIBERTAD,DIPUTADOS NACIONALES,1,Masculino
2933,PROYECTO JOVEN,DEMOS LIBERTAD,SENADORES NACIONALES,1,Masculino
2937,PROYECTO JOVEN,VIVA LA LIBERTAD,DIPUTADOS NACIONALES,1,Masculino
2946,PROYECTO JOVEN,VIVA LA LIBERTAD,SENADORES NACIONALES,1,Femenino
2950,UNION DEL CENTRO DEMOCRATICO- UCEDE,FUERZA LIBERAL,DIPUTADOS NACIONALES,1,Masculino
2959,UNION DEL CENTRO DEMOCRATICO- UCEDE,FUERZA LIBERAL,SENADORES NACIONALES,1,Masculino
2963,UNION POR LA PATRIA,CELESTE Y BANCA,DIPUTADOS NACIONALES,1,Masculino
2972,UNION POR LA PATRIA,CELESTE Y BLANCA,SENADORES NACIONALES,1,Femenino
2976,CAMBIA MENDOZA,A MENDOZA HACE,DIPUTADOS NACIONALES,1,Masculino
2987,COMPROMISO FEDERAL,A HACEMOS UNIDOS POR MENDOZA,DIPUTADOS NACIONALES,1,Masculino
2998,FRENTE DE IZQUIERDA Y DE TRABAJADORES – UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA ,DIPUTADOS NACIONALES,1,Femenino
3009,FRENTE DE IZQUIERDA Y DE TRABAJADORES – UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,1,Masculino
3020,LA LIBERTAD AVANZA,A LA LIBERTAD MENDOZA,DIPUTADOS NACIONALES,1,Femenino
3031,MOVIMIENTO AL SOCIALISMO (MAS),IZQUIERDA ANTICAPITALISTA,DIPUTADOS NACIONALES,1,Femenino
3042,MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,DIPUTADOS NACIONALES,1,Masculino
3053,UNION POR LA PATRIA,A CELESTE Y BLANCA,DIPUTADOS NACIONALES,1,Masculino
3064,FRENTE RENOVADOR DE LA CONCORDIA-INNOVACION FEDERAL MNES,"ROJA, AZUL Y BLANCA",DIPUTADOS NACIONALES,1,Masculino
3074,FRENTE RENOVADOR DE LA CONCORDIA-INNOVACION FEDERAL MNES,"ROJA, AZUL Y BLANCA",SENADORES NACIONALES,1,Masculino
3078,FUERZA LIBERAL MNES,LIBERTAD VIVA,DIPUTADOS NACIONALES,1,Masculino
3088,FUERZA LIBERAL MNES,LIBERTAD VIVA,SENADORES NACIONALES,1,Masculino
3092,JUNTOS POR EL CAMBIO MNES,EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,1,Masculino
3102,JUNTOS POR EL CAMBIO MNES,EL CAMBIO DE NUESTRAS VIDAS,SENADORES NACIONALES,1,Masculino
3106,JUNTOS POR EL CAMBIO MNES,LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,1,Masculino
3116,JUNTOS POR EL CAMBIO MNES,LA FUERZA DEL CAMBIO,SENADORES NACIONALES,1,Masculino
3120,PARTIDO AGRARIO Y SOCIAL MNES,POR LA GENTE  LETRA P,DIPUTADOS NACIONALES,1,Masculino
3130,PARTIDO AGRARIO Y SOCIAL MNES,POR LA GENTE  LETRA P,SENADORES NACIONALES,1,Masculino
