Agrupación Política,Lista,Cargo,Género
PARTIDO RENOVADOR FEDERAL,LIBERTAD JUJUY 1A,SENADORES NACIONALES,Masculino
UNION POR LA PATRIA,CELESTE Y BLANCA,SENADORES NACIONALES,Masculino
UNION POR LA PATRIA,UNIDAD RENOVADORA,SENADORES NACIONALES,Femenino
UNION POR LA PATRIA,UNION POR JUJUY,SENADORES NACIONALES,Femenino
DEMOCRATA CRISTIANO,HACEMOS UNIDOS POR LA RIOJA,SENADORES NACIONALES,Masculino
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD, UNIDAD DE LUCHADORES Y  LA IZQUIERDA,SENADORES NACIONALES,Masculino
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,UNIR Y FORTALECER LA IZQUIERDA 1A,SENADORES NACIONALES,Masculino
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS A,SENADORES NACIONALES,Masculino
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO B,SENADORES NACIONALES,Masculino
LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,SENADORES NACIONALES,Masculino
PROYECTO JOVEN,DEMOS LIBERTAD,SENADORES NACIONALES,Masculino
PROYECTO JOVEN,VIVA LA LIBERTAD,SENADORES NACIONALES,Femenino
UNION DEL CENTRO DEMOCRATICO- UCEDE,FUERZA LIBERAL,SENADORES NACIONALES,Masculino
UNION POR LA PATRIA,CELESTE Y BLANCA,SENADORES NACIONALES,Femenino
FRENTE RENOVADOR DE LA CONCORDIA-INNOVACION FEDERAL MNES,"ROJA, AZUL Y BLANCA",SENADORES NACIONALES,Masculino
FUERZA LIBERAL MNES,LIBERTAD VIVA,SENADORES NACIONALES,Masculino
JUNTOS POR EL CAMBIO MNES,EL CAMBIO DE NUESTRAS VIDAS,SENADORES NACIONALES,Masculino
JUNTOS POR EL CAMBIO MNES,LA FUERZA DEL CAMBIO,SENADORES NACIONALES,Masculino
PARTIDO AGRARIO Y SOCIAL MNES,POR LA GENTE  LETRA P,SENADORES NACIONALES,Masculino
PARTIDO DEL OBRERO,UNIDAD DE TRABAJADORES Y LA IZQUIERDA,SENADORES NACIONALES,Femenino
UNION POPULAR FEDERAL MNES,HACEMOS UNIDOS,SENADORES NACIONALES,Femenino
ALIANZA JUNTOS POR EL CAMBIO,CAMBIA SAN JUAN,SENADORES NACIONALES,Masculino
ALIANZA JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,SENADORES NACIONALES,Masculino
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1A UNIR Y FORTALECER LA IZQUIERDA,SENADORES NACIONALES,Masculino
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,SENADORES NACIONALES,Femenino
FRENTE UNIÓN POR LA PATRIA - SAN JUAN,SAN JUAN VUELVE,SENADORES NACIONALES,Masculino
FRENTE UNIÓN POR LA PATRIA - SAN JUAN,VAMOS SAN JUAN,SENADORES NACIONALES,Masculino
LA LIBERTAD AVANZA,IDEAS DE LA LIBERTAD,SENADORES NACIONALES,Masculino
PARTIDO CRUZADA RENOVADORA,BLANCA UNIDAD,SENADORES NACIONALES,Masculino
PARTIDO MOVIMIENTO LIBRES DEL SUR - SIGLA L.D.S.,AZUL Y ROJO,SENADORES NACIONALES,Masculino
PARTIDO POPULAR,PRINCIPIO Y VALORES,SENADORES NACIONALES,Masculino
PARTIDO SOCIALISTA,HACEMOS UNIDOS POR SAN JUAN,SENADORES NACIONALES,Masculino
ALIANZA FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD  SAN LUIS,1B UNIDAD DE LUCHADORES Y LA IZQUIERDA,SENADORES NACIONALES,Masculino
ALIANZA FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD  SAN LUIS,UNIR Y FORTALECER LA IZQUIERDA (1A),SENADORES NACIONALES,Femenino
ALIANZA LA LIBERTAD AVANZA SAN LUIS,DOGMA LIBERTARIO,SENADORES NACIONALES,Masculino
JUNTOS POR EL CAMBIO  SAN LUIS,EL CAMBIO DE NUESTRAS VIDAS,SENADORES NACIONALES,Femenino
JUNTOS POR EL CAMBIO  SAN LUIS,LA FUERZA DEL CAMBIO,SENADORES NACIONALES,Masculino
MOVIMIENTO AL SOCIALISMO SAN LUIS,IZQUIERDA ANTICAPITALISTA,SENADORES NACIONALES,Masculino
MOVIMIENTO LIBRES DEL SUR SAN LUIS,AZUL Y ROJO,SENADORES NACIONALES,Masculino
PARTIDO DEMOCRATA SAN LUIS,DEMOCRATAS POR LA LIBERTAD,SENADORES NACIONALES,Femenino
PARTIDO UNION Y LIBERTAD SAN LUIS,L1,SENADORES NACIONALES,Masculino
UNION POR SAN LUIS,CELESTE UNIDAD,SENADORES NACIONALES,Masculino
AGRUPACION MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA,SENADORES NACIONALES,Masculino
ALIANZA CAMBIA SANTA CRUZ,EL CAMBIO DE NUESTRAS VIDAS,SENADORES NACIONALES,Masculino
ALIANZA CAMBIA SANTA CRUZ,SUMAMOS FUERZAS EN SANTA CRUZ,SENADORES NACIONALES,Femenino
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,1A UNIDAD DE LUCHADORES Y LA IZQUIERDA,SENADORES NACIONALES,Masculino
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,1A UNIR Y FORTALECER LA IZQUIERDA,SENADORES NACIONALES,Femenino
ALIANZA POR SANTA CRUZ,HACER SANTA CRUZ,SENADORES NACIONALES,Masculino
ALIANZA UNION POR LA PATRIA,ACUERDO SANTACRUCEÑO,SENADORES NACIONALES,Femenino
