Agrupación Política,Lista,Cargo,Género
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,SENADORES NACIONALES,Masculino
CONFIANZA PUBLICA,VALORES EN ACCION,SENADORES NACIONALES,Femenino
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,SENADORES NACIONALES,Masculino
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,SENADORES NACIONALES,Femenino
FRENTE DE IZQUIERDA Y DE TRABAJADORES,A UNIR Y FORTALECER LA IZQUIERDA,SENADORES NACIONALES,Femenino
FRENTE DE IZQUIERDA Y DE TRABAJADORES,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,SENADORES NACIONALES,Femenino
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,ACCION Y SOLIDARIDAD,SENADORES NACIONALES,Femenino
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,SERVIR,SENADORES NACIONALES,Femenino
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,SOLIDARIOS,SENADORES NACIONALES,Femenino
FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,SENADORES NACIONALES,Masculino
HACEMOS POR NUESTRO PAIS,HACEMOS,SENADORES NACIONALES,Femenino
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,SENADORES NACIONALES,Masculino
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,SENADORES NACIONALES,Masculino
JUSTICIA Y DIGNIDAD PATRIOTICA,P.A.S.E,SENADORES NACIONALES,Masculino
LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,SENADORES NACIONALES,Masculino
MOVIMIENTO AVANZADA SOCIALISTA,IZQUIERDA ANTICAPITALISTA,SENADORES NACIONALES,Masculino
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,CONFEDERAL,SENADORES NACIONALES,Masculino
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LINEA A DIGNIDAD,SENADORES NACIONALES,Femenino
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,SENADORES NACIONALES,Masculino
NUEVA UNION CELESTE,CELESTE,SENADORES NACIONALES,Masculino
PARTIDO LABORISTA,FRENTE LABORISTA,SENADORES NACIONALES,Femenino
PARTIDO LABORISTA,LA CLASE OBRERA,SENADORES NACIONALES,Femenino
PARTIDO LABORISTA,REFUNDACION,SENADORES NACIONALES,Femenino
PARTIDO LABORISTA,VOLVER A LAS FUENTES,SENADORES NACIONALES,Masculino
PARTIDO LIBERTARIO,LIBERTARIOS,SENADORES NACIONALES,Femenino
PARTIDO MOVIMIENTO ORGANIZACION DEMOCRATICA (MODE),UNIDAD,SENADORES NACIONALES,Masculino
PARTIDO PRINCIPIOS Y VALORES,FUERZA FEDERAL,SENADORES NACIONALES,Masculino
PARTIDO PRINCIPIOS Y VALORES,TIERRA TECHO Y TRABAJO,SENADORES NACIONALES,Femenino
PARTIDO UNIDAD SOCIAL (PUS),UNIDOS,SENADORES NACIONALES,Masculino
PARTIDO VOCACION SOCIAL,VALORES Y SOLIDARIDAD,SENADORES NACIONALES,Masculino
POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,AZUL UNICA,SENADORES NACIONALES,Masculino
POLITICA OBRERA,UNIDAD OBRERA,SENADORES NACIONALES,Masculino
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA SOBERANIA,SENADORES NACIONALES,Masculino
PROYECTO JOVEN,FRENTE JOVEN,SENADORES NACIONALES,Masculino
PROYECTO JOVEN,PATRIA UNIDA,SENADORES NACIONALES,Masculino
TODOS POR BUENOS AIRES,,SENADORES NACIONALES,Femenino
UNION POR LA PATRIA,CELESTE Y BLANCA NÚMERO LISTA 2,SENADORES NACIONALES,Masculino
JUNTOS POR EL CAMBIO,#PODES CONFIAR ESTAMOS CON VOS,SENADORES NACIONALES,Masculino
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,SENADORES NACIONALES,Masculino
LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,SENADORES NACIONALES,Masculino
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,SENADORES NACIONALES,Masculino
UNION POR LA PATRIA,"LISTA 2 CELESTE, BLANCA Y AZUL",SENADORES NACIONALES,Masculino
CAMBIA JUJUY,LISTA A SIGAMOS CAMBIANDO JUJUY,SENADORES NACIONALES,Masculino
CAMBIA JUJUY,LISTA B LA FUERZA DEL CAMBIO,SENADORES NACIONALES,Femenino
CAMBIA JUJUY,LISTA C UNIR AL CAMBIO,SENADORES NACIONALES,Femenino
FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,A UNIDAD DE LUCHADORES Y LA IZQUIERDA,SENADORES NACIONALES,Masculino
FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,UNIR Y FORTALECER LA IZQUIERDA 1A,SENADORES NACIONALES,Masculino
HACEMOS POR NUESTRO PAIS,HACEMOS POR JUJUY,SENADORES NACIONALES,Masculino
MOVIMIENTO INTEGRACIóN LATINOAMERICANA DE EXPRESIóN SOCIAL-M.I.L.E.S.,JUJUY TIENE FUTURO CON PRINCIPIOS Y VALORES,SENADORES NACIONALES,Masculino
