AP,Nombre_lista,Tipo_eleccion,Distrito,Cargo,Subcategoria Cargo,Posicion,Precandidatura,Genero,Edad
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,2,JOSE MARTIN AGUIRRE,M,57
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,3,VANESA ELIZABETH VERGARA,F,40
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,4,DARIO FABIAN ARREGUI,M,35
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,5,JOANA ELIZABETH CARRILLO,F,37
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,6,JOAQUIN GUSTAVO BARVERO,M,42
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,7,MARIA ELENA LEIVA,F,74
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,8,ARIEL OMAR DE PABLO,M,39
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,9,ADRIANA JUDIT ESTIGARRIBIA,F,37
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,10,AVILA ISAAC MOISES MACIAS,M,46
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,11,NATALIA SOLEDAD MACIEL,F,39
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,12,DIEGO FERNANDO VERON,M,40
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,13,RAMONA ANGELA ZABALA,F,35
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,14,MARIO ANDRES LA CRUZ,M,51
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,15,MALVINA SOLEDAD MEDINA,F,41
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,16,MANUEL SEGUNDO,M,47
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,17,CAMILA AYELEN MONSERRAT,F,29
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,18,LUIS OSCAR MACIEL,M,36
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,19,MARIA JULIANA MONTIEL,F,51
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,1,CARLOS ANTONIO TELLO,M,42
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,2,MARCELINA ESTER GONZALEZ RODRIGUEZ,F,45
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,3,ADRIANO AQUINO,M,63
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,4,GRISELDA LIZ ENCIZO,F,34
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,5,DIEGO DOMINGO DIAZ,M,41
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,6,LETICIA DEL VALLE SORIA,F,65
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,7,JAVIER DARIO A MEZA,M,49
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,8,CLAUDIA SOLEDAD GONZALEZ RODRIGUEZ,F,41
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,9,BENJAMIN ANDRES COSTILLA,M,37
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,10,SOLEDAD GRACIELA MONSERRAT,F,43
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,11,DAMIAN ELIAS GENUARIO VARGAS,M,36
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,12,GRACIELA BEATRIZ CORONEL,F,52
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,13,NESTOR GUSTAVO PUJOLAI,M,46
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,14,TRINIDAD ANDREA ALFARO,F,58
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,15,HECTOR VICTOR BUSTOS,M,58
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,16,VIVIANA NOEMI AVALO,F,38
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,17,JOSE MARIA FLORES,M,49
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,18,MARIA CRISTINA ESQUIVEL,F,56
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,19,DAVID ROBERTO SAYOS,M,55
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,1,HORACIO RICCIARDELLI,M,79
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,2,LILA FLORENCIA MOLINA,F,45
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,3,CARLOS ALBERTO CARDENAS,M,67
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,4,NADIA IVANA EPSTEIN,F,42
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,5,JORGE ENRIQUE JOHNSON,M,72
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,6,SILVIA SUSANA DUSSELDORP,F,71
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,7,JOSE MARCELO NUÑEZ,M,57
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,8,MARIA ELEOMAR VALENZUELA,F,80
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,9,ALFREDO ALBERTO ROCCA,M,65
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,10,PATRICIA CECILIA RICCIARDELLI DUSSELDORP,F,45
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,11,DOMINGO ALBERTO PALMIERI,M,78
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,12,ADRIANA RAQUEL ALTAMIRANO,F,34
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,13,PABLO JULIAN SCHÜLE,M,54
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,14,MONICA ALEJANDRA BARRALE,F,55
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,15,JULIO CESAR AIZA,M,58
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,16,ALEJANDRA AURORA NAVARRO,F,56
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,17,LAUTARO TEJERO,M,52
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,18,VERONICA BEATRIZ GOMEZ,F,30
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,19,HEBERTO VICTOR CARDOSO,M,84
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,1,SARA ROSA GANICOCHE,F,57
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,2,DANIEL ALBERTO BASUALDO,M,58
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,3,ALICIA ELEONOR RICCIARDELLI DUSSELDORP,F,49
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,4,JACINTO CARLOS GOMEZ,M,61
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,5,MARTA PAULICHENCO,F,68
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,6,PABLO EZEQUIEL GIMENEZ,M,35
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,7,SANDRA BEATRIZ CARRIZO,F,57
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,8,RUBEN ANIBAL RESCHKE,M,64
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,9,KARINA BEATRIZ MARINARO,F,50
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,10,PEDRO DANIEL GRANEROS SOSA,M,37
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,11,MIRIAM EMILIANA DE LA CANAL,F,41
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,12,ADRIAN ANGEL CARMONA,M,45
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,13,LORENA CELESTE CASTELLANO,F,39
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,14,LUJAN DAVID BENAVIDEZ,M,38
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,15,ANALIA VERONICA SCAGLIA,F,50
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,16,BENITO ANTONIO AGUILAR,M,55
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,17,GLORIA BEATRIZ HERMOSA,F,57
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,18,ALBERTO JOSE VESPA,M,67
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,1,ISAAC RUDNIK,M,70
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,2,CAMILA VALENTINUZZI,F,26
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,3,TOMAS ODILIO BATTAGLINO,M,27
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,4,MÓNICA CINTIA VIGNOLO,F,36
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,5,OSVALDO GOMEZ MASIA,M,85
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,6,YOANA MARCELA ALZOGARAY,F,35
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,7,EDUARDO CORREA,M,74
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,8,CANDELA AGUSTINA GONZALEZ,F,26
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,9,RICARDO MIGUEL GEORGES,M,57
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,10,PAOLA JUDITH DE LOS ANGELES LAMAS,F,34
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,11,MANUEL ANDRES GRAZIANI,M,32
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,12,MARLENE ANDREA BELTRAN BAQUEDANO,F,32
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,13,LEANDRO MARTIN LANDO,M,37
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,14,LORENA ALEJANDRA PEREZ,F,47
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,15,AYRTON DE LOS SANTOS,M,27
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,16,MARIA SOLEDAD TUMINI,F,37
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,17,SEBASTIAN MATIAS IBALOS,M,46
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,18,YASMIN AMARA SAUD,F,25
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,19,AGUSTIN ALEJANDRO BONO,M,33
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,1,FLORENCIA SABRINA PEREYRA,F,26
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,2,PABLO TOMAS VILTE,M,25
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,3,ALINA STELLA ANGELICA PERISSINOTTI,F,39
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,4,HUGO BRIAN MANQUIPILLAN,M,32
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,5,SOFIA DI MARIO,F,30
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,6,MARTIN ALEJANDRO GARCIA ROJO,M,25
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,7,JESSICA NAIR OCHOVA,F,33
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,8,OMAR LISANDRO MUÑOZ,M,51
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,9,ABIGAIL DEL ROSARIO SOLANO,F,27
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,10,SANTIAGO HERNAN PEREZ,M,33
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,11,PAOLA ELIZABETH OYOLA,F,37
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,12,FIDEL GABRIEL SALAZAR MENDEZ,M,27
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,13,AGUSTINA NOELIA DAVALOS CUBAS,F,28
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,14,LUIS ANGEL GIL,M,44
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,15,GIMENA DE LOS ANGELES PISTAN,F,26
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,16,CARLOS SAUL FARIAS,M,33
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,17,MARCIA MARLENE OVANDO,F,32
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,18,ALEJANDRO EZEQUIEL ASTUDILLO,M,35
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,19,ROCIO MAGDALENA TORRES,F,25
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,1,NESTOR HORACIO CORREA,M,77
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,2,ELENA FLORIN,F,72
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,3,CHRISTIAN ALEJANDRO MIGUEZ,M,50
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,4,ERICA MAGALI MAZA,F,27
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,5,AGUSTIN FERNANDEZ,M,29
