AP,Nombre_lista,Tipo_eleccion,Distrito,Cargo,Subcategoria Cargo,Posicion,Precandidatura,Genero,Edad
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,6,MARIA PAULA RETAMBAY,F,44
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,7,MARTIN IÑAKI ALDASORO,M,41
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,8,SANDRA ETELVINA REVOLERO,F,46
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,9,MARIO EDUARDO COUTOUNE,M,66
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,10,MARILIN GOMEZ,F,43
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,11,ALDO GABRIEL GARCIA,M,52
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,12,DAYANA ABIGAIL YAPURA,F,29
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,13,GONZALO ALEJO FERNANDEZ,M,33
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,14,MYRIAM ALVAREZ,F,53
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,15,JUAN CRUZ MONDINO,M,29
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,16,SILVIA LEONOR DIAZ,F,50
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,17,GERMAN LAVINI,M,45
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,18,LAURA YANINA MAIHUA,F,31
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,19,GUSTAVO JESUS FENOY,M,49
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,1,STELLA MARIS GIUDICE,F,60
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,2,EDMUNDO ENRIQUE FINKELSTEIN,M,75
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,3,BARBARA ESTELA COLQUI,F,45
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,4,BRUNO MARTIN CORZO,M,35
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,5,ALICIA ANDREA ESCUDERO,F,60
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,6,BRIAN MURPHY ARMANDO,M,41
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,7,MARIA NAZARIA PEDERSEN,F,48
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,8,CLAUDIO BENICIO GIMENEZ,M,39
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,9,LAURA SILVINA ALONSO HERRERA,F,47
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,10,FRANCO BOZZANI,M,31
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,11,RAMONA JOSEFA ROMERO,F,64
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,12,MIGUEL ANGEL MARTORELL,M,74
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,13,VICTORIA MENDEZ TORREZ,F,38
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,14,JORGE EDUARDO SUELDO,M,56
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,15,SOFIA IRENE MENNA,F,30
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,16,JOSE ALBERTO FIGUEROA,M,62
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,17,MIRNA ELAINE MARTENS,F,62
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,18,LUIS RODOLFO RAUL CANALIS,M,48
POLíTICA OBRERA,A UNIDAD OBRERA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,19,ADRIANA NOEMI ANDINO,F,43
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,1,PABLO MARON CHALLU,M,80
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,2,ELIZABETH BEATRIZ BENITEZ,F,58
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,3,GABRIEL ROBLES,M,43
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,4,MARIA DEL CARMEN CARLINI,F,43
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,5,MAURICIO DOMINGO STOESSEL,M,41
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,6,CAROLINA VERONICA BOBROWSKI,F,45
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,7,JUAN PABLO AVEGGIO,M,35
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,8,NELIDA NIEVES ROJAS,F,68
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,9,CARLOS ALBERTO BOTTARO,M,75
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,10,NATALIA JESICA GERINGER,F,42
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,11,LUIS ALBERTO SEGOVIA,M,61
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,12,ADA JACQUELINE JANDAR CARTES,F,52
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,13,LUIS BENJAMIN BURGOS,M,46
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,14,ANA CAROLINA PONT,F,53
