Agrupación Política,Lista,Distrito,Cargo,Subcategoría Cargo,Posición,Precandidato,Género,Edad
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,33,SILVIA AMIRA DE LOS ANGELES BUSTOS,F,31
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,34,EMANUEL ADRIAN LEGUIZA,M,38
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,35,DAIANA LOURDES ALVAREZ,F,30
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,1,DAVID ANGEL MUSICARELLI,M,40
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,2,CAROLINA LILIAN RIVAROLA,F,32
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,3,EMILIANO JOSE MARIA MUÑOZ,M,29
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,4,MIRTA ESMIR RODRIGUEZ,F,75
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,5,DARIO LUIS TULA,M,45
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,6,ROMINA LUJAN GUZMAN,F,32
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,1,CLAUDIO SCARAVAGLIONE,M,56
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,2,FABIANA BEATRIZ GARCIA,F,58
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,3,MANUEL HECTOR SANCHEZ,M,51
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,4,MABEL LIDIA REY,F,48
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,5,DOMINGO ENRIQUE NIEVA,M,64
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,6,LAURA CRISTINA JANNER,F,43
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,7,DARIO EDGARDO ARIAS,M,52
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,8,SOLANGE NOELIA CAAMAÑO,F,39
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,9,DEMETRIO BENITEZ,M,66
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,10,MIRIAN FABIANA MOVIA,F,53
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,11,CARLOS SALSEIN ROMAN,M,57
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,12,MARÍA CRISTINA CARREIRAS,F,63
