Agrupación Política,Lista,Distrito,Cargo,Subcategoría Cargo,Posición,Precandidato,Género,Edad
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,1,MAURO DARIO LOPEZ GARCIA,M,43
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,2,JIMENA MARIEL SANCHEZ,F,36
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,3,FEDERICO BARRIOS,M,29
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,4,ZULMA AURORA DE ANGELIS,F,61
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,5,MARIO ALBERTO PAREDES,M,66
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,6,ANA MARIA VICTORIA HERRERA,F,32
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,7,HORACIO EZEQUIEL REYNOSO,M,29
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,8,MARTA LORENA AZCUNE,F,50
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,9,RICARDO ANGEL ISMAEL REBOLLEDO,M,41
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,10,PAULA GABRIELA RAMOS,F,38
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,11,JUAN PABLO MALAGUTTI,M,45
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,12,MARIA NAZARENA VALLEJOS,F,50
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,13,OSVALDO NERI MURINIGO,M,58
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,14,ANGELES VISMARA,F,35
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,15,JOSE EDUARDO AGUIRRE,M,42
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,16,NOELIA ELIZABETH SOSA,F,37
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,17,JUAN CARLOS BARRIONUEVO,M,62
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,18,CARMEN ELIZABETH DUARTE,F,52
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,19,JAVIER AGUSTIN SCIOSCIA,M,41
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,20,SOFIA EDITH SKANDAR,F,33
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,21,JONATHAN KEVIN CACERES,M,37
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,22,YANINA COBOS,F,41
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,23,GUILLERMO DAMIAN VILA,M,32
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,24,JIMENA MILLA,F,30
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,25,PEDRO OSMAR BARCO,M,66
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,26,GILDA FABIANA HERRERA,F,59
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,27,DIEGO MARTIN CHAÑE,M,49
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,28,RAQUEL ELISABETH ROLDAN,F,35
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,29,DIEGO FERNANDO CAMPOS,M,47
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,30,JUANA YAMILA GRANEROS,F,25
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,31,CARLOS DANIEL MAZZAGLIA,M,64
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,32,NAYLA DAIANA GONZALEZ,F,28
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,33,RODRIGO ARIEL AYALA,M,32
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,34,MARINA SOLEDAD MIERES,F,38
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,35,CRISTIAN HUMBERTO DIAZ,M,45
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,1,LAURA VERONICA FRIAS,F,47
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,2,LEANDRO DAVID TAPIA,M,27
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,3,LORENA DE LOS ANGELES NARDINI,F,40
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,4,ALBERTO MAURICIO PASTORIZO,M,52
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,5,DALILA ADRIANA GOMEZ,F,34
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,6,EDUARDO JUAN MENDOZA,M,39
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,7,ERICA NOELIA VERA,F,38
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,8,JAVIER ALEJANDRO AGUIRRE,M,43
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,9,DEBORA TAMARA GODOY,F,34
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,10,VICTOR HUGO PALACIOS,M,52
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,1,LEANDRO JAVIER RODRIGUEZ LASTRA,M,47
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,2,LUCRECIA DEBORA DEL POZO,F,43
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,3,SEBASTIAN ANDRES SUAREZ,M,33
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,4,DELIA DEL CARMEN ROMERO,F,73
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,5,ELIO MARTIN TENAGLIA,M,43
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,6,KARINA ANDREA SANDOVAL,F,40
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,7,RICARDO CICILIANI,M,68
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,8,MARIA DEL CARMEN SANDOVAL,F,69
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,9,LUCAS LEONARDO ROTONDO,M,46
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,10,MARIA SUSANA VILLATA,F,73
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,11,JUAN LUCIO MARTINEZ,M,45
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,12,BARBARA DAIANA CRECHE FALCON,F,32
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,13,HECTOR URIEL DUPOUY,M,42
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,14,CINTIA ANALIA DEJESUS,F,44
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,15,BRAIAN YONATHAN FALCONE,M,25
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,16,ANDREA SOLEDAD ARES,F,42
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,17,CRISTIAN MATIAS GOMEZ,M,37
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,18,PAMELA ESTEFANIA GONZALEZ,F,38
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,19,JUAN VICENTE ESTIGARRIBIA,M,80
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,20,GEORGINA NOELIA KLADAS,F,30
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,21,DAVID ANGEL CHALLAPA,M,52
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,22,PATRICIA MABEL LOPEZ,F,48
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,23,PASCUAL ARISTIDES CRISTALDO MEZA,M,47
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,24,DAIANA NOEMI RAMIREZ,F,35
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,25,FERNANDO JESUS NATANAEL LLANOS,M,37
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,26,HILDA JOSEFA AGUIRRE,F,64
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,27,MATIAS FACUNDO TOBARES,M,29
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,28,ERIKA EDITH ALVAREZ,F,29
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,29,PATRICIO EMILIANO LOPEZ,M,30
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,30,MARIANA MAGDALENA ENRIQUEZ,F,34
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,31,CARLOS HUGO MAURE,M,62
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,32,LAURA INES RODRIGUEZ,F,53
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,33,FERNANDO APONTE RUDAZ,M,30
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,34,MARIA SOLEDAD GUTIERREZ,F,52
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,35,JORGE PATRICIO SIVIL,M,33
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,1,SANDRA MABEL SEGOVIA,F,45
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,2,ULISES DAMIAN ARES,M,40
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,3,MARICEL NOELIA MONTIEL,F,36
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,4,MARTIN EMANUEL SILVERA BITENCOURT,M,35
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,5,SILVIA DEL CARMEN FERNANDEZ,F,56
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,6,GASTON ELIAS SCACCHI,M,38
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,7,MONICA ALEJANDRA CHAPARRO,F,47
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,8,DIEGO JAVIER LOBAIZA,M,43
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,9,RUT ELIZABETH FERNANDEZ,F,36
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,10,SERGIO FABIAN MEDINA,M,48
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,1,CLAUDIA MABEL BONETTI,F,43
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,2,DAVID JONATAN ARAYA,M,34
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,3,MARIA LUJAN GONZALEZ RIVERO,F,48
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,4,GERMAN EXEQUIEL CELIS,M,33
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,5,ROMINA NOELIA ALDANA,F,36
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,6,MAURO ALEJANDRO GUZMAN,M,31
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,7,NORA EDITH BALMACEDA,F,47
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,8,FERNANDO DANIEL URIBARRI,M,49
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,9,MARINA ROMERO,F,34
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,10,OSCAR RICARDO SILVA,M,61
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,11,ALICIA NOEMI GONZALEZ,F,31
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,12,JUAN MARCOS MOLINA,M,28
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,13,JESICA BEATRIZ PERALTA,F,33
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,14,JORGE ALFREDO CHASELAS,M,66
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,15,IRENE ISABEL GONZALEZ,F,32
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,16,RAMON ALEJANDRO CAÑETE,M,33
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,17,REBECA NOEMI ACUÑA,F,29
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,18,LEONEL ARNALDO MEDINA,M,38
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,19,NATALIA SOLEDAD JUAREZ,F,33
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,20,MIGUEL ANGEL MORAES,M,40
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,21,DEBORA DAIANA GIOIOSA,F,35
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,22,MARTIN GABRIEL GAUTO,M,31
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,23,VALERIA NOEMI CARRIZO,F,46
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,24,ROBERTO ROGELIO MICHIA,M,61
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,25,JESICA NATALIA NUÑEZ,F,31
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,26,MARCELO FABIAN ISAAK,M,46
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,27,LIDIA AURORA LATANZA,F,43
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,28,FRANCISCO EZEQUIEL GAMARRA,M,42
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,29,LORENA NATALIA VERA,F,39
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,30,GUSTAVO ADOLFO CARRIZO,M,50
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,31,MARCELA PATRICIA VUAGNIAUX,F,37
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,32,CRISTIAN GERARDO ZAPATA,M,41
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,33,ELIZABETH EDITH FERREYRA,F,47
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,34,JUAN IGNACIO SUAREZ BOGADO,M,25
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,35,LORENA FABIANA NASO,F,46
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,1,VICTOR FABIAN CORREA,M,27
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,2,JOHANNA GEORGINA ROJAS,F,37
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,3,GABRIEL OMAR DE BATTISTA,M,28
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,4,ROMINA LORENA AGUIRRE,F,46
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,5,GABRIEL ALEJANDRO LEGUIZA,M,26
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,6,PABLA VERONICA COCERES,F,45
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,7,JONATHAN JORGE EZEQUIEL NOROÑA,M,31
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,8,MARIA DE LOS ANGELES DOVAL,F,56
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,9,WALTER EZEQUIEL RAMIREZ,M,28
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,10,MARIA ISABEL ARIAS,F,42
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,1,ANTONIA ACOSTA,F,46
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,2,MARCELO BENJAMIN BUSTOS AMANQUEZ,M,56
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,3,FLORENCIA BELEN MOLINA,F,35
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,4,JUAN PABLO GONZALES,M,36
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,5,VALERIA NOEMI FERNANDEZ,F,38
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,6,SERGIO EDUARDO MOJICA,M,34
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,7,CLAUDIA VANESA GOROSITO,F,45
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,8,CRISTIAN DAVID DUARTE,M,41
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,9,ANA MARIA BARROSO,F,49
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,10,DANIEL NICOLÁS MARON,M,58
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,11,ANA BEATRIZ TOLEDO,F,46
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,12,LUIS DANIEL MANSILLA,M,59
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,13,ELIZABETH PAOLA SOSA,F,47
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,14,RODRIGO GABRIEL CACERES,M,31
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,15,CYNTIA LILIANA VERA,F,38
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,16,MARCELO DANIEL FERNANDEZ,M,48
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,17,VERONICA NOEMI LOZA,F,45
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,18,LUCAS SIMON MOSQUEIRA,M,44
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,19,SONIA ELIZABETH CABRERA,F,38
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,20,JOSE MANUEL ROBLEDO,M,30
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,21,JENNIFER ANAHI ARGÜELLO,F,32
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,22,FEDERICO NICOLAS ISIDRE,M,26
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,23,VERONICA ALEJANDRA LAMAS,F,40
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,24,ENZO NAHUEL ROBLEDO,M,27
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,25,LORENA LEONOR MARTINEZ,F,40
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,26,ROMAN EZEQUIEL MALDONADO,M,28
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,27,CARINA SOLEDAD MIÑO,F,39
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,28,DIEGO LUIS HERNAN CORIA,M,34
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,29,ANTONIA LUJAN PEREZ,F,32
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,30,EMANUEL JOSE ANTONIO QUINTANA,M,34
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,31,GISELA ROMINA GOMEZ,F,41
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,32,IVAN GOMEZ,M,41
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,33,PATRICIA MARCELA GONZALEZ,F,54
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,34,ABEL ARTURO TOLEDO,M,28
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,35,MARIANELA GRISELDA RIOS,F,45
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,1,SANTIAGO ELIAS TOLEDO,M,32
