,Lista,Candidatos,Votos,perc_interna,percAbs,Name,Partido
196,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,1238,100.0,0.15,Entre Rios,MOVIMIENTO DE ACCION VECINAL
197,C- ANTICORRUPCIÓN,BARBARO-PUCHETA,375,61.17,0.04,Entre Rios,FRENTE LIBER.AR
198,A- DEMOS,ETCHEPARE-LORENZO,201,32.78,0.02,Entre Rios,FRENTE LIBER.AR
199,B- RECONQUISTA,VASENA-LAGONEGRO,37,6.03,0.01,Entre Rios,FRENTE LIBER.AR
200,A- COALICION PAZ DEMOCRACIA SOBERANIA,GIARDINELLI-SOLERNOU,64,70.32,0.01,Entre Rios,PROYECTO JOVEN
201,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,17,18.68,0.01,Entre Rios,PROYECTO JOVEN
202,C- TODEX,IBAÑEZ-IBARRA,10,10.98,0.01,Entre Rios,PROYECTO JOVEN
203,A- APERTURA LIBERAL ARGENTINA,PASSAMONTI-FERNANDEZ,52,100.0,0.01,Entre Rios,UNION DEL CENTRO DEMOCRATICO
204,A- CELESTE Y BLANCA,MASSA-ROSSI,142965,96.86,45.15,Formosa,UNION POR LA PATRIA
205,B- JUSTA Y SOBERANA,GRABOIS-ABAL MEDINA,4627,3.13,1.46,Formosa,UNION POR LA PATRIA
206,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,80753,100.0,25.5,Formosa,LA LIBERTAD AVANZA
207,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,46650,67.86,14.73,Formosa,JUNTOS POR EL CAMBIO
208,A- EL CAMBIO DE NUESTRAS VIDAS,RODRIGUEZ LARRETA-MORALES,22089,32.13,6.97,Formosa,JUNTOS POR EL CAMBIO
209,A- HACEMOS,SCHIARETTI-RANDAZZO,3208,100.0,1.01,Formosa,HACEMOS POR NUESTRO PAIS
210,A- UNIR Y FORTALECER LA IZQUIERDA,BREGMAN-DEL CAÑO,1287,60.82,0.4,Formosa,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
211,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,829,39.17,0.26,Formosa,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
212,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,1724,100.0,0.54,Formosa,MOVIMIENTO LIBRES DEL SUR
213,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,775,100.0,0.24,Formosa,MOVIMIENTO AL SOCIALISMO
214,A- UNIDAD OBRERA,RAMAL-URONES,710,100.0,0.22,Formosa,POLITICA OBRERA
215,A- DIGNIDAD,CASTELLS-REINOSO,331,50.15,0.1,Formosa,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
216,B- CONFEDERAL,CÚNEO-BARRANCO,329,49.84,0.1,Formosa,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
217,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,533,100.0,0.16,Formosa,MOVIMIENTO DE ACCION VECINAL
218,A- PRIMERO LA PATRIA,BIONDINI-AVENDAÑO,470,100.0,0.14,Formosa,FRENTE PATRIOTA FEDERAL
219,C- ANTICORRUPCIÓN,BARBARO-PUCHETA,119,63.29,0.03,Formosa,FRENTE LIBER.AR
220,A- DEMOS,ETCHEPARE-LORENZO,45,23.93,0.01,Formosa,FRENTE LIBER.AR
221,B- RECONQUISTA,VASENA-LAGONEGRO,24,12.76,0.01,Formosa,FRENTE LIBER.AR
222,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,39,40.2,0.01,Formosa,PROYECTO JOVEN
223,A- COALICION PAZ DEMOCRACIA SOBERANIA,GIARDINELLI-SOLERNOU,38,39.17,0.01,Formosa,PROYECTO JOVEN
224,C- TODEX,IBAÑEZ-IBARRA,20,20.61,0.01,Formosa,PROYECTO JOVEN
225,3C- TRES BANDERAS,OLIVER-SAN MARTIN,39,41.48,0.01,Formosa,PRINCIPIOS Y VALORES
226,4D- GENTE DE TRABAJO,BARTOLINI-GOMEZ,31,32.97,0.01,Formosa,PRINCIPIOS Y VALORES
227,5E- LABORISTA,ARIAS-VERA,19,20.21,0.01,Formosa,PRINCIPIOS Y VALORES
228,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,4,4.25,0.01,Formosa,PRINCIPIOS Y VALORES
229,2B- TRANSFORMAR,MARTINEZ-SOUTO,1,1.06,0.01,Formosa,PRINCIPIOS Y VALORES
230,A- APERTURA LIBERAL ARGENTINA,PASSAMONTI-FERNANDEZ,31,100.0,0.01,Formosa,UNION DEL CENTRO DEMOCRATICO
231,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,168142,100.0,39.83,Jujuy,LA LIBERTAD AVANZA
232,A- EL CAMBIO DE NUESTRAS VIDAS,RODRIGUEZ LARRETA-MORALES,76378,76.06,18.09,Jujuy,JUNTOS POR EL CAMBIO
233,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,24030,23.93,5.69,Jujuy,JUNTOS POR EL CAMBIO
234,A- CELESTE Y BLANCA,MASSA-ROSSI,71980,82.43,17.05,Jujuy,UNION POR LA PATRIA
235,B- JUSTA Y SOBERANA,GRABOIS-ABAL MEDINA,15334,17.56,3.63,Jujuy,UNION POR LA PATRIA
236,A- UNIR Y FORTALECER LA IZQUIERDA,BREGMAN-DEL CAÑO,22186,76.55,5.25,Jujuy,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
237,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,6796,23.44,1.61,Jujuy,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
238,A- HACEMOS,SCHIARETTI-RANDAZZO,7215,100.0,1.7,Jujuy,HACEMOS POR NUESTRO PAIS
239,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,2819,98.6,0.66,Jujuy,PRINCIPIOS Y VALORES
240,5E- LABORISTA,ARIAS-VERA,21,0.73,0.01,Jujuy,PRINCIPIOS Y VALORES
241,2B- TRANSFORMAR,MARTINEZ-SOUTO,9,0.31,0.01,Jujuy,PRINCIPIOS Y VALORES
242,3C- TRES BANDERAS,OLIVER-SAN MARTIN,6,0.2,0.01,Jujuy,PRINCIPIOS Y VALORES
243,4D- GENTE DE TRABAJO,BARTOLINI-GOMEZ,4,0.13,0.01,Jujuy,PRINCIPIOS Y VALORES
244,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,1598,100.0,0.37,Jujuy,MOVIMIENTO LIBRES DEL SUR
245,B- CONFEDERAL,CÚNEO-BARRANCO,814,53.3,0.19,Jujuy,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
246,A- DIGNIDAD,CASTELLS-REINOSO,713,46.69,0.16,Jujuy,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
247,A- UNIDAD OBRERA,RAMAL-URONES,1423,100.0,0.33,Jujuy,POLITICA OBRERA
248,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,1124,100.0,0.26,Jujuy,MOVIMIENTO AL SOCIALISMO
249,A- PRIMERO LA PATRIA,BIONDINI-AVENDAÑO,905,100.0,0.21,Jujuy,FRENTE PATRIOTA FEDERAL
250,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,839,100.0,0.19,Jujuy,MOVIMIENTO DE ACCION VECINAL
251,C- ANTICORRUPCIÓN,BARBARO-PUCHETA,281,68.03,0.06,Jujuy,FRENTE LIBER.AR
252,A- DEMOS,ETCHEPARE-LORENZO,115,27.84,0.02,Jujuy,FRENTE LIBER.AR
253,B- RECONQUISTA,VASENA-LAGONEGRO,17,4.11,0.01,Jujuy,FRENTE LIBER.AR
254,A- COALICION PAZ DEMOCRACIA SOBERANIA,GIARDINELLI-SOLERNOU,13,61.9,0.01,Jujuy,PROYECTO JOVEN
255,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,6,28.57,0.01,Jujuy,PROYECTO JOVEN
256,C- TODEX,IBAÑEZ-IBARRA,2,9.52,0.01,Jujuy,PROYECTO JOVEN
257,A- APERTURA LIBERAL ARGENTINA,PASSAMONTI-FERNANDEZ,5,100.0,0.01,Jujuy,UNION DEL CENTRO DEMOCRATICO
258,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,66280,100.0,32.77,La Pampa,LA LIBERTAD AVANZA
259,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,32488,56.61,16.06,La Pampa,JUNTOS POR EL CAMBIO
260,A- EL CAMBIO DE NUESTRAS VIDAS,RODRIGUEZ LARRETA-MORALES,24899,43.38,12.31,La Pampa,JUNTOS POR EL CAMBIO
261,A- CELESTE Y BLANCA,MASSA-ROSSI,45208,79.4,22.35,La Pampa,UNION POR LA PATRIA
262,B- JUSTA Y SOBERANA,GRABOIS-ABAL MEDINA,11726,20.59,5.79,La Pampa,UNION POR LA PATRIA
263,A- HACEMOS,SCHIARETTI-RANDAZZO,7504,100.0,3.71,La Pampa,HACEMOS POR NUESTRO PAIS
264,A- UNIR Y FORTALECER LA IZQUIERDA,BREGMAN-DEL CAÑO,2556,69.17,1.26,La Pampa,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
265,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,1139,30.82,0.56,La Pampa,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
266,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,1408,98.39,0.69,La Pampa,PRINCIPIOS Y VALORES
267,2B- TRANSFORMAR,MARTINEZ-SOUTO,15,1.04,0.01,La Pampa,PRINCIPIOS Y VALORES
268,4D- GENTE DE TRABAJO,BARTOLINI-GOMEZ,8,0.55,0.01,La Pampa,PRINCIPIOS Y VALORES
269,3C- TRES BANDERAS,OLIVER-SAN MARTIN,0,0.0,0.0,La Pampa,PRINCIPIOS Y VALORES
270,5E- LABORISTA,ARIAS-VERA,0,0.0,0.0,La Pampa,PRINCIPIOS Y VALORES
271,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,1133,100.0,0.56,La Pampa,MOVIMIENTO AL SOCIALISMO
272,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,1000,100.0,0.49,La Pampa,MOVIMIENTO LIBRES DEL SUR
273,A- UNIDAD OBRERA,RAMAL-URONES,756,100.0,0.37,La Pampa,POLITICA OBRERA
274,B- CONFEDERAL,CÚNEO-BARRANCO,643,85.84,0.31,La Pampa,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
275,A- DIGNIDAD,CASTELLS-REINOSO,106,14.15,0.05,La Pampa,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
276,A- PRIMERO LA PATRIA,BIONDINI-AVENDAÑO,578,100.0,0.28,La Pampa,FRENTE PATRIOTA FEDERAL
277,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,447,100.0,0.22,La Pampa,MOVIMIENTO DE ACCION VECINAL
278,A- DEMOS,ETCHEPARE-LORENZO,162,95.29,0.08,La Pampa,FRENTE LIBER.AR
279,C- ANTICORRUPCIÓN,BARBARO-PUCHETA,7,4.11,0.01,La Pampa,FRENTE LIBER.AR
280,B- RECONQUISTA,VASENA-LAGONEGRO,1,0.58,0.01,La Pampa,FRENTE LIBER.AR
281,A- APERTURA LIBERAL ARGENTINA,PASSAMONTI-FERNANDEZ,23,100.0,0.01,La Pampa,UNION DEL CENTRO DEMOCRATICO
282,A- COALICION PAZ DEMOCRACIA SOBERANIA,GIARDINELLI-SOLERNOU,4,100.0,0.01,La Pampa,PROYECTO JOVEN
283,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,0,0.0,0.0,La Pampa,PROYECTO JOVEN
284,C- TODEX,IBAÑEZ-IBARRA,0,0.0,0.0,La Pampa,PROYECTO JOVEN
285,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,69607,100.0,36.42,La Rioja,LA LIBERTAD AVANZA
286,A- CELESTE Y BLANCA,MASSA-ROSSI,53814,89.45,28.16,La Rioja,UNION POR LA PATRIA
287,B- JUSTA Y SOBERANA,GRABOIS-ABAL MEDINA,6346,10.54,3.32,La Rioja,UNION POR LA PATRIA
288,A- EL CAMBIO DE NUESTRAS VIDAS,RODRIGUEZ LARRETA-MORALES,20483,52.98,10.71,La Rioja,JUNTOS POR EL CAMBIO
289,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,18176,47.01,9.51,La Rioja,JUNTOS POR EL CAMBIO
290,A- HACEMOS,SCHIARETTI-RANDAZZO,13371,100.0,6.99,La Rioja,HACEMOS POR NUESTRO PAIS
291,A- UNIR Y FORTALECER LA IZQUIERDA,BREGMAN-DEL CAÑO,1122,60.03,0.58,La Rioja,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
292,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,747,39.96,0.39,La Rioja,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
293,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,723,100.0,0.37,La Rioja,MOVIMIENTO LIBRES DEL SUR
294,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,564,100.0,0.29,La Rioja,MOVIMIENTO AL SOCIALISMO
295,A- APERTURA LIBERAL ARGENTINA,PASSAMONTI-FERNANDEZ,484,100.0,0.25,La Rioja,UNION DEL CENTRO DEMOCRATICO
296,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,428,98.61,0.22,La Rioja,PRINCIPIOS Y VALORES
297,5E- LABORISTA,ARIAS-VERA,6,1.38,0.01,La Rioja,PRINCIPIOS Y VALORES
298,2B- TRANSFORMAR,MARTINEZ-SOUTO,0,0.0,0.0,La Rioja,PRINCIPIOS Y VALORES
299,3C- TRES BANDERAS,OLIVER-SAN MARTIN,0,0.0,0.0,La Rioja,PRINCIPIOS Y VALORES
300,4D- GENTE DE TRABAJO,BARTOLINI-GOMEZ,0,0.0,0.0,La Rioja,PRINCIPIOS Y VALORES
301,A- PRIMERO LA PATRIA,BIONDINI-AVENDAÑO,432,100.0,0.22,La Rioja,FRENTE PATRIOTA FEDERAL
302,A- UNIDAD OBRERA,RAMAL-URONES,426,100.0,0.22,La Rioja,POLITICA OBRERA
303,B- CONFEDERAL,CÚNEO-BARRANCO,335,92.28,0.17,La Rioja,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
304,A- DIGNIDAD,CASTELLS-REINOSO,28,7.71,0.01,La Rioja,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
305,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,336,100.0,0.17,La Rioja,MOVIMIENTO DE ACCION VECINAL
306,C- ANTICORRUPCIÓN,BARBARO-PUCHETA,54,78.26,0.02,La Rioja,FRENTE LIBER.AR
307,A- DEMOS,ETCHEPARE-LORENZO,15,21.73,0.01,La Rioja,FRENTE LIBER.AR
308,B- RECONQUISTA,VASENA-LAGONEGRO,0,0.0,0.0,La Rioja,FRENTE LIBER.AR
309,A- COALICION PAZ DEMOCRACIA SOBERANIA,GIARDINELLI-SOLERNOU,6,60.0,0.01,La Rioja,PROYECTO JOVEN
310,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,4,40.0,0.01,La Rioja,PROYECTO JOVEN
311,C- TODEX,IBAÑEZ-IBARRA,0,0.0,0.0,La Rioja,PROYECTO JOVEN
312,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,466437,100.0,44.8,Mendoza,LA LIBERTAD AVANZA
313,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,229636,78.08,22.05,Mendoza,JUNTOS POR EL CAMBIO
314,A- EL CAMBIO DE NUESTRAS VIDAS,RODRIGUEZ LARRETA-MORALES,64441,21.91,6.18,Mendoza,JUNTOS POR EL CAMBIO
315,A- CELESTE Y BLANCA,MASSA-ROSSI,140766,80.19,13.52,Mendoza,UNION POR LA PATRIA
316,B- JUSTA Y SOBERANA,GRABOIS-ABAL MEDINA,34756,19.8,3.33,Mendoza,UNION POR LA PATRIA
317,A- UNIR Y FORTALECER LA IZQUIERDA,BREGMAN-DEL CAÑO,24852,79.01,2.38,Mendoza,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
318,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,6600,20.98,0.63,Mendoza,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
319,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,15566,100.0,1.49,Mendoza,MOVIMIENTO LIBRES DEL SUR
320,A- HACEMOS,SCHIARETTI-RANDAZZO,13858,100.0,1.33,Mendoza,HACEMOS POR NUESTRO PAIS
321,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,7182,98.31,0.68,Mendoza,PRINCIPIOS Y VALORES
322,2B- TRANSFORMAR,MARTINEZ-SOUTO,43,0.58,0.01,Mendoza,PRINCIPIOS Y VALORES
323,5E- LABORISTA,ARIAS-VERA,32,0.43,0.01,Mendoza,PRINCIPIOS Y VALORES
324,3C- TRES BANDERAS,OLIVER-SAN MARTIN,26,0.35,0.01,Mendoza,PRINCIPIOS Y VALORES
325,4D- GENTE DE TRABAJO,BARTOLINI-GOMEZ,22,0.3,0.01,Mendoza,PRINCIPIOS Y VALORES
326,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,3986,100.0,0.38,Mendoza,MOVIMIENTO AL SOCIALISMO
327,B- CONFEDERAL,CÚNEO-BARRANCO,2284,59.85,0.21,Mendoza,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
328,A- DIGNIDAD,CASTELLS-REINOSO,1532,40.14,0.14,Mendoza,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
329,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,3416,100.0,0.32,Mendoza,MOVIMIENTO DE ACCION VECINAL
330,A- UNIDAD OBRERA,RAMAL-URONES,3041,100.0,0.29,Mendoza,POLITICA OBRERA
331,A- PRIMERO LA PATRIA,BIONDINI-AVENDAÑO,2588,100.0,0.24,Mendoza,FRENTE PATRIOTA FEDERAL
332,A- APERTURA LIBERAL ARGENTINA,PASSAMONTI-FERNANDEZ,101,100.0,0.01,Mendoza,UNION DEL CENTRO DEMOCRATICO
333,A- DEMOS,ETCHEPARE-LORENZO,42,70.0,0.01,Mendoza,FRENTE LIBER.AR
334,C- ANTICORRUPCIÓN,BARBARO-PUCHETA,17,28.33,0.01,Mendoza,FRENTE LIBER.AR
335,B- RECONQUISTA,VASENA-LAGONEGRO,1,1.66,0.01,Mendoza,FRENTE LIBER.AR
336,A- COALICION PAZ DEMOCRACIA SOBERANIA,GIARDINELLI-SOLERNOU,41,91.11,0.01,Mendoza,PROYECTO JOVEN
337,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,4,8.88,0.01,Mendoza,PROYECTO JOVEN
338,C- TODEX,IBAÑEZ-IBARRA,0,0.0,0.0,Mendoza,PROYECTO JOVEN
339,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,277899,100.0,43.03,Misiones,LA LIBERTAD AVANZA
340,A- CELESTE Y BLANCA,MASSA-ROSSI,157074,89.56,24.32,Misiones,UNION POR LA PATRIA
341,B- JUSTA Y SOBERANA,GRABOIS-ABAL MEDINA,18296,10.43,2.83,Misiones,UNION POR LA PATRIA
342,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,82456,67.29,12.76,Misiones,JUNTOS POR EL CAMBIO
343,A- EL CAMBIO DE NUESTRAS VIDAS,RODRIGUEZ LARRETA-MORALES,40072,32.7,6.2,Misiones,JUNTOS POR EL CAMBIO
344,A- UNIR Y FORTALECER LA IZQUIERDA,BREGMAN-DEL CAÑO,4964,57.22,0.76,Misiones,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
345,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,3710,42.77,0.57,Misiones,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
346,A- HACEMOS,SCHIARETTI-RANDAZZO,8610,100.0,1.33,Misiones,HACEMOS POR NUESTRO PAIS
347,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,4740,100.0,0.73,Misiones,MOVIMIENTO LIBRES DEL SUR
348,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,3938,97.4,0.6,Misiones,PRINCIPIOS Y VALORES
349,5E- LABORISTA,ARIAS-VERA,36,0.89,0.01,Misiones,PRINCIPIOS Y VALORES
350,2B- TRANSFORMAR,MARTINEZ-SOUTO,30,0.74,0.01,Misiones,PRINCIPIOS Y VALORES
351,4D- GENTE DE TRABAJO,BARTOLINI-GOMEZ,25,0.61,0.01,Misiones,PRINCIPIOS Y VALORES
352,3C- TRES BANDERAS,OLIVER-SAN MARTIN,14,0.34,0.01,Misiones,PRINCIPIOS Y VALORES
353,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,3704,100.0,0.57,Misiones,MOVIMIENTO AL SOCIALISMO
354,A- UNIDAD OBRERA,RAMAL-URONES,3054,100.0,0.47,Misiones,POLITICA OBRERA
355,A- PRIMERO LA PATRIA,BIONDINI-AVENDAÑO,3051,100.0,0.47,Misiones,FRENTE PATRIOTA FEDERAL
356,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,1947,100.0,0.3,Misiones,MOVIMIENTO DE ACCION VECINAL
357,B- CONFEDERAL,CÚNEO-BARRANCO,1039,66.09,0.16,Misiones,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
358,A- DIGNIDAD,CASTELLS-REINOSO,533,33.9,0.08,Misiones,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
359,A- DEMOS,ETCHEPARE-LORENZO,183,41.97,0.02,Misiones,FRENTE LIBER.AR
360,B- RECONQUISTA,VASENA-LAGONEGRO,135,30.96,0.02,Misiones,FRENTE LIBER.AR
361,C- ANTICORRUPCIÓN,BARBARO-PUCHETA,118,27.06,0.01,Misiones,FRENTE LIBER.AR
362,A- COALICION PAZ DEMOCRACIA SOBERANIA,GIARDINELLI-SOLERNOU,62,57.94,0.01,Misiones,PROYECTO JOVEN
363,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,26,24.29,0.01,Misiones,PROYECTO JOVEN
364,C- TODEX,IBAÑEZ-IBARRA,19,17.75,0.01,Misiones,PROYECTO JOVEN
365,A- APERTURA LIBERAL ARGENTINA,PASSAMONTI-FERNANDEZ,54,100.0,0.01,Misiones,UNION DEL CENTRO DEMOCRATICO
366,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,156147,100.0,39.04,Neuquen,LA LIBERTAD AVANZA
367,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,57819,63.35,14.45,Neuquen,JUNTOS POR EL CAMBIO
368,A- EL CAMBIO DE NUESTRAS VIDAS,RODRIGUEZ LARRETA-MORALES,33444,36.64,8.36,Neuquen,JUNTOS POR EL CAMBIO
369,A- CELESTE Y BLANCA,MASSA-ROSSI,57483,72.74,14.37,Neuquen,UNION POR LA PATRIA
370,B- JUSTA Y SOBERANA,GRABOIS-ABAL MEDINA,21541,27.25,5.38,Neuquen,UNION POR LA PATRIA
371,A- UNIR Y FORTALECER LA IZQUIERDA,BREGMAN-DEL CAÑO,13715,72.77,3.42,Neuquen,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
372,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,5132,27.22,1.28,Neuquen,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
373,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,13064,100.0,3.26,Neuquen,MOVIMIENTO LIBRES DEL SUR
374,A- HACEMOS,SCHIARETTI-RANDAZZO,7038,100.0,1.75,Neuquen,HACEMOS POR NUESTRO PAIS
375,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,4232,100.0,1.05,Neuquen,PRINCIPIOS Y VALORES
376,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,3053,100.0,0.76,Neuquen,MOVIMIENTO AL SOCIALISMO
377,A- UNIDAD OBRERA,RAMAL-URONES,2024,100.0,0.5,Neuquen,POLITICA OBRERA
378,A- PRIMERO LA PATRIA,BIONDINI-AVENDAÑO,1851,100.0,0.46,Neuquen,FRENTE PATRIOTA FEDERAL
379,B- CONFEDERAL,CÚNEO-BARRANCO,1612,100.0,0.4,Neuquen,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
380,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,1268,100.0,0.31,Neuquen,MOVIMIENTO DE ACCION VECINAL
381,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,148437,100.0,37.29,Rio Negro,LA LIBERTAD AVANZA
382,A- CELESTE Y BLANCA,MASSA-ROSSI,72012,67.77,18.09,Rio Negro,UNION POR LA PATRIA
383,B- JUSTA Y SOBERANA,GRABOIS-ABAL MEDINA,34246,32.22,8.6,Rio Negro,UNION POR LA PATRIA
384,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,52712,62.57,13.24,Rio Negro,JUNTOS POR EL CAMBIO
385,A- EL CAMBIO DE NUESTRAS VIDAS,RODRIGUEZ LARRETA-MORALES,31520,37.42,7.92,Rio Negro,JUNTOS POR EL CAMBIO
386,A- UNIR Y FORTALECER LA IZQUIERDA,BREGMAN-DEL CAÑO,9471,71.58,2.37,Rio Negro,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
387,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,3759,28.41,0.94,Rio Negro,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
388,A- HACEMOS,SCHIARETTI-RANDAZZO,8232,100.0,2.06,Rio Negro,HACEMOS POR NUESTRO PAIS
389,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,5013,100.0,1.25,Rio Negro,MOVIMIENTO LIBRES DEL SUR
390,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,3364,97.99,0.84,Rio Negro,PRINCIPIOS Y VALORES
391,2B- TRANSFORMAR,MARTINEZ-SOUTO,32,0.93,0.01,Rio Negro,PRINCIPIOS Y VALORES
392,4D- GENTE DE TRABAJO,BARTOLINI-GOMEZ,13,0.37,0.01,Rio Negro,PRINCIPIOS Y VALORES
393,3C- TRES BANDERAS,OLIVER-SAN MARTIN,12,0.34,0.01,Rio Negro,PRINCIPIOS Y VALORES
394,5E- LABORISTA,ARIAS-VERA,12,0.34,0.01,Rio Negro,PRINCIPIOS Y VALORES
395,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,3128,100.0,0.78,Rio Negro,MOVIMIENTO AL SOCIALISMO
396,A- UNIDAD OBRERA,RAMAL-URONES,2378,100.0,0.59,Rio Negro,POLITICA OBRERA
397,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,1767,100.0,0.44,Rio Negro,MOVIMIENTO DE ACCION VECINAL
398,B- CONFEDERAL,CÚNEO-BARRANCO,986,83.98,0.24,Rio Negro,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
399,A- DIGNIDAD,CASTELLS-REINOSO,188,16.01,0.04,Rio Negro,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
400,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,261,85.57,0.06,Rio Negro,PROYECTO JOVEN
