,Lista,Candidatos,Votos,perc_interna,percAbs,Name,Partido
45,B- RECONQUISTA,VASENA-LAGONEGRO,1,1.53,0.01,Catamarca,FRENTE LIBER.AR
46,A- COALICION PAZ DEMOCRACIA SOBERANIA,GIARDINELLI-SOLERNOU,13,65.0,0.01,Catamarca,PROYECTO JOVEN
47,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,4,20.0,0.01,Catamarca,PROYECTO JOVEN
48,C- TODEX,IBAÑEZ-IBARRA,3,15.0,0.01,Catamarca,PROYECTO JOVEN
49,A- APERTURA LIBERAL ARGENTINA,PASSAMONTI-FERNANDEZ,17,100.0,0.01,Catamarca,UNION DEL CENTRO DEMOCRATICO
50,A- CELESTE Y BLANCA,MASSA-ROSSI,199837,92.4,32.01,Chaco,UNION POR LA PATRIA
51,B- JUSTA Y SOBERANA,GRABOIS-ABAL MEDINA,16420,7.59,2.63,Chaco,UNION POR LA PATRIA
52,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,180599,100.0,28.93,Chaco,LA LIBERTAD AVANZA
53,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,96192,58.04,15.41,Chaco,JUNTOS POR EL CAMBIO
54,A- EL CAMBIO DE NUESTRAS VIDAS,RODRIGUEZ LARRETA-MORALES,69529,41.95,11.14,Chaco,JUNTOS POR EL CAMBIO
55,A- HACEMOS,SCHIARETTI-RANDAZZO,8833,100.0,1.41,Chaco,HACEMOS POR NUESTRO PAIS
56,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,4125,53.5,0.66,Chaco,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
57,A- UNIR Y FORTALECER LA IZQUIERDA,BREGMAN-DEL CAÑO,3585,46.49,0.57,Chaco,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
58,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,6141,100.0,0.98,Chaco,MOVIMIENTO LIBRES DEL SUR
59,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,4150,98.06,0.66,Chaco,PRINCIPIOS Y VALORES
60,2B- TRANSFORMAR,MARTINEZ-SOUTO,44,1.03,0.01,Chaco,PRINCIPIOS Y VALORES
61,3C- TRES BANDERAS,OLIVER-SAN MARTIN,15,0.35,0.01,Chaco,PRINCIPIOS Y VALORES
62,5E- LABORISTA,ARIAS-VERA,14,0.33,0.01,Chaco,PRINCIPIOS Y VALORES
63,4D- GENTE DE TRABAJO,BARTOLINI-GOMEZ,9,0.21,0.01,Chaco,PRINCIPIOS Y VALORES
64,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,2437,100.0,0.39,Chaco,MOVIMIENTO AL SOCIALISMO
65,B- CONFEDERAL,CÚNEO-BARRANCO,1156,51.06,0.18,Chaco,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
66,A- DIGNIDAD,CASTELLS-REINOSO,1108,48.93,0.17,Chaco,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
67,A- UNIDAD OBRERA,RAMAL-URONES,2035,100.0,0.32,Chaco,POLITICA OBRERA
68,A- PRIMERO LA PATRIA,BIONDINI-AVENDAÑO,1490,100.0,0.23,Chaco,FRENTE PATRIOTA FEDERAL
69,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,1211,100.0,0.19,Chaco,MOVIMIENTO DE ACCION VECINAL
70,C- ANTICORRUPCIÓN,BARBARO-PUCHETA,130,51.38,0.02,Chaco,FRENTE LIBER.AR
71,B- RECONQUISTA,VASENA-LAGONEGRO,77,30.43,0.01,Chaco,FRENTE LIBER.AR
72,A- DEMOS,ETCHEPARE-LORENZO,46,18.18,0.01,Chaco,FRENTE LIBER.AR
73,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,84,65.11,0.01,Chaco,PROYECTO JOVEN
74,A- COALICION PAZ DEMOCRACIA SOBERANIA,GIARDINELLI-SOLERNOU,39,30.23,0.01,Chaco,PROYECTO JOVEN
75,C- TODEX,IBAÑEZ-IBARRA,6,4.65,0.01,Chaco,PROYECTO JOVEN
76,A- APERTURA LIBERAL ARGENTINA,PASSAMONTI-FERNANDEZ,21,100.0,0.01,Chaco,UNION DEL CENTRO DEMOCRATICO
77,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,124030,100.0,39.4,Chubut,LA LIBERTAD AVANZA
78,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,46785,61.07,14.86,Chubut,JUNTOS POR EL CAMBIO
79,A- EL CAMBIO DE NUESTRAS VIDAS,RODRIGUEZ LARRETA-MORALES,29818,38.92,9.47,Chubut,JUNTOS POR EL CAMBIO
