Agrupación Política,Lista,Distrito,Subcategoría Cargo,Posición,Precandidato,Género,Edad,Age_Bin,Age_Range
FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,A UNIDAD DE LUCHADORES Y LA IZQUIERDA,JUJUY,TITULARES,1,SEBASTIAN COPELLO,M,32,0,30-35
FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,A UNIDAD DE LUCHADORES Y LA IZQUIERDA,JUJUY,TITULARES,2,ALEJANDRA MARGARITA ZAMBRANO,F,41,2,40-46
FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,A UNIDAD DE LUCHADORES Y LA IZQUIERDA,JUJUY,SUPLENTES,1,JORGE DAVID HOYOS,M,46,3,46-51
FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,A UNIDAD DE LUCHADORES Y LA IZQUIERDA,JUJUY,SUPLENTES,2,ABIGAIL BRENDA ESCALANTE,F,32,0,30-35
FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,UNIR Y FORTALECER LA IZQUIERDA 1A,JUJUY,TITULARES,1,ALEJANDRO ARIEL VILCA,M,47,3,46-51
FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,UNIR Y FORTALECER LA IZQUIERDA 1A,JUJUY,TITULARES,2,LAMIA NAHIR DEBBO,F,32,0,30-35
FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,UNIR Y FORTALECER LA IZQUIERDA 1A,JUJUY,SUPLENTES,1,GUILLERMO DANIEL ALEMAN,M,36,1,35-40
FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,UNIR Y FORTALECER LA IZQUIERDA 1A,JUJUY,SUPLENTES,2,JULIA FERNANDA GIRIBONE STANLEY,F,45,2,40-46
HACEMOS POR NUESTRO PAIS,HACEMOS POR JUJUY,JUJUY,TITULARES,1,OSCAR AGUSTÍN PERASSI,M,74,8,72-77
HACEMOS POR NUESTRO PAIS,HACEMOS POR JUJUY,JUJUY,TITULARES,2,ANGELA SUSANA AGUIAR,F,76,8,72-77
HACEMOS POR NUESTRO PAIS,HACEMOS POR JUJUY,JUJUY,SUPLENTES,1,DANTE PAUL ALVAREZ DODI,M,50,3,46-51
HACEMOS POR NUESTRO PAIS,HACEMOS POR JUJUY,JUJUY,SUPLENTES,2,MARIA DEL VALLE CALPANCHAY,F,48,3,46-51
MOVIMIENTO INTEGRACIóN LATINOAMERICANA DE EXPRESIóN SOCIAL-M.I.L.E.S.,JUJUY TIENE FUTURO CON PRINCIPIOS Y VALORES,JUJUY,TITULARES,1,RODOLFO ALEJANDRO TECCHI,M,68,7,66-72
MOVIMIENTO INTEGRACIóN LATINOAMERICANA DE EXPRESIóN SOCIAL-M.I.L.E.S.,JUJUY TIENE FUTURO CON PRINCIPIOS Y VALORES,JUJUY,TITULARES,2,GEORGINA PAOLA SOSA,F,38,1,35-40
MOVIMIENTO INTEGRACIóN LATINOAMERICANA DE EXPRESIóN SOCIAL-M.I.L.E.S.,JUJUY TIENE FUTURO CON PRINCIPIOS Y VALORES,JUJUY,SUPLENTES,1,HUGO ORLANDO UZQUEDA,M,48,3,46-51
MOVIMIENTO INTEGRACIóN LATINOAMERICANA DE EXPRESIóN SOCIAL-M.I.L.E.S.,JUJUY TIENE FUTURO CON PRINCIPIOS Y VALORES,JUJUY,SUPLENTES,2,GLADYS ERNESTINA ZAMBRANO,F,59,5,56-61
PARTIDO RENOVADOR FEDERAL,LIBERTAD JUJUY 1A,JUJUY,TITULARES,1,EZEQUIEL ATAUCHE,M,41,2,40-46
PARTIDO RENOVADOR FEDERAL,LIBERTAD JUJUY 1A,JUJUY,TITULARES,2,VILMA FACUNDA BEDIA,F,62,6,61-66
PARTIDO RENOVADOR FEDERAL,LIBERTAD JUJUY 1A,JUJUY,SUPLENTES,1,KEVIN GUSTAVO BALLESTY,M,39,1,35-40
PARTIDO RENOVADOR FEDERAL,LIBERTAD JUJUY 1A,JUJUY,SUPLENTES,2,ALICIA VALERIA ALVAREZ,F,45,2,40-46
UNION POR LA PATRIA,CELESTE Y BLANCA,JUJUY,TITULARES,1,RUBEN ARMANDO RIVAROLA,M,70,7,66-72
UNION POR LA PATRIA,CELESTE Y BLANCA,JUJUY,TITULARES,2,KARINA MARISOL PANIAGUA,F,48,3,46-51
UNION POR LA PATRIA,CELESTE Y BLANCA,JUJUY,SUPLENTES,1,PEDRO HORACIO BELIZAN,M,50,3,46-51
UNION POR LA PATRIA,CELESTE Y BLANCA,JUJUY,SUPLENTES,2,SILVIA REGINA EDITH VALDIVIEZO,F,39,1,35-40
UNION POR LA PATRIA,UNIDAD RENOVADORA,JUJUY,TITULARES,1,MARIA CAROLINA MOISES,F,48,3,46-51
UNION POR LA PATRIA,UNIDAD RENOVADORA,JUJUY,TITULARES,2,ADRIAN RUBEN MENDIETA,M,49,3,46-51
UNION POR LA PATRIA,UNIDAD RENOVADORA,JUJUY,SUPLENTES,1,FERNANDA COLQUE,F,57,5,56-61
UNION POR LA PATRIA,UNIDAD RENOVADORA,JUJUY,SUPLENTES,2,CARLOS MANUEL DE APARICI,M,46,3,46-51
UNION POR LA PATRIA,UNION POR JUJUY,JUJUY,TITULARES,1,LEILA SUSANA CHAHER,F,39,1,35-40
UNION POR LA PATRIA,UNION POR JUJUY,JUJUY,TITULARES,2,FRANCISCO JAVIER HINOJO,M,47,3,46-51
UNION POR LA PATRIA,UNION POR JUJUY,JUJUY,SUPLENTES,1,DANIELA ALEJANDRA JALED,F,33,0,30-35
UNION POR LA PATRIA,UNION POR JUJUY,JUJUY,SUPLENTES,2,JUAN IGNACIO MUÑOZ,M,43,2,40-46
DEMOCRATA CRISTIANO,HACEMOS UNIDOS POR LA RIOJA,LA RIOJA,TITULARES,1,ALBERTO NICOLAS PAREDES URQUIZA,M,57,5,56-61
DEMOCRATA CRISTIANO,HACEMOS UNIDOS POR LA RIOJA,LA RIOJA,TITULARES,2,ANDREA MARIA MERCADO LUNA,F,56,4,51-56
DEMOCRATA CRISTIANO,HACEMOS UNIDOS POR LA RIOJA,LA RIOJA,SUPLENTES,1,HORACIO GABRIEL PASCUALE,M,49,3,46-51
DEMOCRATA CRISTIANO,HACEMOS UNIDOS POR LA RIOJA,LA RIOJA,SUPLENTES,2,CYNTHIA RAQUEL NUÑEZ,F,44,2,40-46
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD, UNIDAD DE LUCHADORES Y  LA IZQUIERDA,LA RIOJA,TITULARES,1,BERNARDINO ALBERTO ALEJANDRO POLI GUASELO,M,46,3,46-51
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD, UNIDAD DE LUCHADORES Y  LA IZQUIERDA,LA RIOJA,TITULARES,2,KARINA DIAZ,F,51,4,51-56
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD, UNIDAD DE LUCHADORES Y  LA IZQUIERDA,LA RIOJA,SUPLENTES,1,ANASTACIO DOMINGO VEDIA,M,52,4,51-56
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD, UNIDAD DE LUCHADORES Y  LA IZQUIERDA,LA RIOJA,SUPLENTES,2,CLAUDIA FABIANA BAIGORRIA,F,51,4,51-56
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,UNIR Y FORTALECER LA IZQUIERDA 1A,LA RIOJA,TITULARES,1,MARTIN  ANGEL,M,47,3,46-51
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,UNIR Y FORTALECER LA IZQUIERDA 1A,LA RIOJA,TITULARES,2,ANAHI  GONZALEZ,F,42,2,40-46
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,UNIR Y FORTALECER LA IZQUIERDA 1A,LA RIOJA,SUPLENTES,1,JOSE  QUIROGA GUERRA,M,49,3,46-51
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,UNIR Y FORTALECER LA IZQUIERDA 1A,LA RIOJA,SUPLENTES,2,ROCIO REINOSO DRYON,F,32,0,30-35
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS A,LA RIOJA,TITULARES,1,JULIO CESAR MARTINEZ,M,61,5,56-61
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS A,LA RIOJA,TITULARES,2,OLGA I BRIZUELA Y DORIA DE CARA,F,52,4,51-56
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS A,LA RIOJA,SUPLENTES,1,GUSTAVO ANTONIO CATIVA,M,56,4,51-56
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS A,LA RIOJA,SUPLENTES,2,CRISTINA ADRIANA SALZWEDEL,F,53,4,51-56
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO B,LA RIOJA,TITULARES,1,GUILLERMO FEDERICO GALVAN,M,56,4,51-56
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO B,LA RIOJA,TITULARES,2,ANGELICA ELEUTERIA IRIS OYOLA,F,61,5,56-61
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO B,LA RIOJA,SUPLENTES,1,DANIEL ALEJANDRO MOLINA BRAIM,M,48,3,46-51
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO B,LA RIOJA,SUPLENTES,2,MARIA RITA DE LOS ANGELES RIVERO,F,62,6,61-66
LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,LA RIOJA,TITULARES,1,JUAN CARLOS PAGOTTO,M,71,7,66-72
LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,LA RIOJA,TITULARES,2,CLAUDIA CECILIA LOPEZ,F,66,6,61-66
LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,LA RIOJA,SUPLENTES,1,ALEJANDRO MARTIN RODRIGO CRUZ ANTUNEZ,M,51,4,51-56
LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,LA RIOJA,SUPLENTES,2,SUSANA DEL CARMEN RIZZO,F,45,2,40-46
PROYECTO JOVEN,DEMOS LIBERTAD,LA RIOJA,TITULARES,1,MATIAS MAXIMILIANO RUBIA,M,35,0,30-35
PROYECTO JOVEN,DEMOS LIBERTAD,LA RIOJA,TITULARES,2,PAOLA VALERIA ALLENDE,F,49,3,46-51
PROYECTO JOVEN,DEMOS LIBERTAD,LA RIOJA,SUPLENTES,1,PLACIDO RUBEN RODRIGUEZ,M,49,3,46-51
PROYECTO JOVEN,DEMOS LIBERTAD,LA RIOJA,SUPLENTES,2,ELBA GLADYS VEGA,F,47,3,46-51
PROYECTO JOVEN,VIVA LA LIBERTAD,LA RIOJA,TITULARES,1,EVANGELINA SOLEDAD SCOZZIERO,F,47,3,46-51
PROYECTO JOVEN,VIVA LA LIBERTAD,LA RIOJA,TITULARES,2,JORGE LUIS FARIAS,M,53,4,51-56
PROYECTO JOVEN,VIVA LA LIBERTAD,LA RIOJA,SUPLENTES,1,SILVIA DEL VALLE ALIVES,F,60,5,56-61
PROYECTO JOVEN,VIVA LA LIBERTAD,LA RIOJA,SUPLENTES,2,JUAN EXEQUIEL MOLINA,M,33,0,30-35
UNION DEL CENTRO DEMOCRATICO- UCEDE,FUERZA LIBERAL,LA RIOJA,TITULARES,1,CRISTIAN OSCAR CORZO,M,50,3,46-51
UNION DEL CENTRO DEMOCRATICO- UCEDE,FUERZA LIBERAL,LA RIOJA,TITULARES,2,CLAUDIA LORENA BRITOS ARIAS,F,49,3,46-51
UNION DEL CENTRO DEMOCRATICO- UCEDE,FUERZA LIBERAL,LA RIOJA,SUPLENTES,1,EDGARDO ENRIQUE ESCOBAR,M,61,5,56-61
UNION DEL CENTRO DEMOCRATICO- UCEDE,FUERZA LIBERAL,LA RIOJA,SUPLENTES,2,DANIELA SOLEDAD JEREZ,F,30,0,30-35
UNION POR LA PATRIA,CELESTE Y BLANCA,LA RIOJA,TITULARES,1,MARIA FLORENCIA LOPEZ,F,44,2,40-46
UNION POR LA PATRIA,CELESTE Y BLANCA,LA RIOJA,TITULARES,2,JESUS FERNANDO REJAL,M,60,5,56-61
UNION POR LA PATRIA,CELESTE Y BLANCA,LA RIOJA,SUPLENTES,1,MARIA LUZ SANTANGELO CARRIZO,F,41,2,40-46
UNION POR LA PATRIA,CELESTE Y BLANCA,LA RIOJA,SUPLENTES,2,RICARDO ANTONIO GUERRA,M,64,6,61-66
FRENTE RENOVADOR DE LA CONCORDIA-INNOVACION FEDERAL MNES,"ROJA, AZUL Y BLANCA",MISIONES,TITULARES,1,ARCE CARLOS OMAR,M,64,6,61-66
FRENTE RENOVADOR DE LA CONCORDIA-INNOVACION FEDERAL MNES,"ROJA, AZUL Y BLANCA",MISIONES,TITULARES,2,ROJAS DECUT SONIA ELIZABETH,F,50,3,46-51
FRENTE RENOVADOR DE LA CONCORDIA-INNOVACION FEDERAL MNES,"ROJA, AZUL Y BLANCA",MISIONES,SUPLENTES,1,ASTROZA AEDO MILTON MAYCO,M,38,1,35-40
FRENTE RENOVADOR DE LA CONCORDIA-INNOVACION FEDERAL MNES,"ROJA, AZUL Y BLANCA",MISIONES,SUPLENTES,2,LOPEZ DANIELA CRISTINA,F,50,3,46-51
FUERZA LIBERAL MNES,LIBERTAD VIVA,MISIONES,TITULARES,1,JABORNICKY H. ALEJANDRO,M,50,3,46-51
FUERZA LIBERAL MNES,LIBERTAD VIVA,MISIONES,TITULARES,2,DE MOURA GRACIELA,F,42,2,40-46
FUERZA LIBERAL MNES,LIBERTAD VIVA,MISIONES,SUPLENTES,1,BREA NICOLAS,M,47,3,46-51
FUERZA LIBERAL MNES,LIBERTAD VIVA,MISIONES,SUPLENTES,2,SEWCZUK YESSICA E.,F,30,0,30-35
JUNTOS POR EL CAMBIO MNES,EL CAMBIO DE NUESTRAS VIDAS,MISIONES,TITULARES,1,"A. F. """"PEPE"""" PIANESI",M,40,1,35-40
JUNTOS POR EL CAMBIO MNES,EL CAMBIO DE NUESTRAS VIDAS,MISIONES,TITULARES,2,PAMELA E. ENCINA,F,41,2,40-46
JUNTOS POR EL CAMBIO MNES,EL CAMBIO DE NUESTRAS VIDAS,MISIONES,SUPLENTES,1,GONZALO M. ACUÑA,M,36,1,35-40
JUNTOS POR EL CAMBIO MNES,EL CAMBIO DE NUESTRAS VIDAS,MISIONES,SUPLENTES,2,MARA I. FRONTINI,F,65,6,61-66
JUNTOS POR EL CAMBIO MNES,LA FUERZA DEL CAMBIO,MISIONES,TITULARES,1,E. MARTIN GOERLING LARA,M,51,4,51-56
JUNTOS POR EL CAMBIO MNES,LA FUERZA DEL CAMBIO,MISIONES,TITULARES,2,CAROLINA S. GROSS,F,32,0,30-35
JUNTOS POR EL CAMBIO MNES,LA FUERZA DEL CAMBIO,MISIONES,SUPLENTES,1,ERNESTO HORACIO SPALLANZANI,M,69,7,66-72
JUNTOS POR EL CAMBIO MNES,LA FUERZA DEL CAMBIO,MISIONES,SUPLENTES,2,ROXANA PAOLA VELAZQUEZ LARRABURU,F,47,3,46-51
PARTIDO AGRARIO Y SOCIAL MNES,POR LA GENTE  LETRA P,MISIONES,TITULARES,1,"""""SEBA"""" R. S. TIOZZO",M,38,1,35-40
PARTIDO AGRARIO Y SOCIAL MNES,POR LA GENTE  LETRA P,MISIONES,TITULARES,2,ELVANI ELISA GORING,F,50,3,46-51
PARTIDO AGRARIO Y SOCIAL MNES,POR LA GENTE  LETRA P,MISIONES,SUPLENTES,1,LUIS ANGEL BENITEZ,M,45,2,40-46
PARTIDO AGRARIO Y SOCIAL MNES,POR LA GENTE  LETRA P,MISIONES,SUPLENTES,2,RAQUEL MASONEVEZ,F,55,4,51-56
PARTIDO DEL OBRERO,UNIDAD DE TRABAJADORES Y LA IZQUIERDA,MISIONES,TITULARES,1,L. VIRGINIA VILLANUEVA,F,65,6,61-66
PARTIDO DEL OBRERO,UNIDAD DE TRABAJADORES Y LA IZQUIERDA,MISIONES,TITULARES,2,"LADISLAO """"RULO"""" DE LIMA",M,43,2,40-46
PARTIDO DEL OBRERO,UNIDAD DE TRABAJADORES Y LA IZQUIERDA,MISIONES,SUPLENTES,1,M. KARINA ALIENDRE,F,51,4,51-56
PARTIDO DEL OBRERO,UNIDAD DE TRABAJADORES Y LA IZQUIERDA,MISIONES,SUPLENTES,2,JUANCA J.C LOVERA,M,53,4,51-56
UNION POPULAR FEDERAL MNES,HACEMOS UNIDOS,MISIONES,TITULARES,1,SABINA A. VETTER,F,49,3,46-51
UNION POPULAR FEDERAL MNES,HACEMOS UNIDOS,MISIONES,TITULARES,2,FERNANDO A. KOWALCZYK,M,41,2,40-46
UNION POPULAR FEDERAL MNES,HACEMOS UNIDOS,MISIONES,SUPLENTES,1,CYNTIA A. GONZALEZ CASPARY,F,31,0,30-35
UNION POPULAR FEDERAL MNES,HACEMOS UNIDOS,MISIONES,SUPLENTES,2,FERNANDO D. KRUSE,M,42,2,40-46
ALIANZA JUNTOS POR EL CAMBIO,CAMBIA SAN JUAN,SAN JUAN,TITULARES,1,EMILIO ALBERTO ACHEM,M,53,4,51-56
ALIANZA JUNTOS POR EL CAMBIO,CAMBIA SAN JUAN,SAN JUAN,TITULARES,2,MARCELA LUCIA MONTAÑA,F,49,3,46-51
ALIANZA JUNTOS POR EL CAMBIO,CAMBIA SAN JUAN,SAN JUAN,SUPLENTES,1,DIEGO ALEJANDRO GAZZE BUENO,M,43,2,40-46
ALIANZA JUNTOS POR EL CAMBIO,CAMBIA SAN JUAN,SAN JUAN,SUPLENTES,2,FANNY ESTER JUAREZ,F,46,3,46-51
ALIANZA JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,SAN JUAN,TITULARES,1,JUAN DOMINGO BRAVO FALCIONI,M,62,6,61-66
ALIANZA JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,SAN JUAN,TITULARES,2,NYDIA MARIA LUISA VELASCO,F,61,5,56-61
ALIANZA JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,SAN JUAN,SUPLENTES,1,CESAR AUGUSTO PORTO MARADONA,M,52,4,51-56
ALIANZA JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,SAN JUAN,SUPLENTES,2,SUSANA DEL VALLE CELANI,F,57,5,56-61
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1A UNIR Y FORTALECER LA IZQUIERDA,SAN JUAN,TITULARES,1,FRANCO MIGUEL LATEGANO,M,36,1,35-40
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1A UNIR Y FORTALECER LA IZQUIERDA,SAN JUAN,TITULARES,2,MELINA VICTORIA BARBIERI CIMINO,F,41,2,40-46
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1A UNIR Y FORTALECER LA IZQUIERDA,SAN JUAN,SUPLENTES,1,RODOLFO JESUS CABALLERO,M,33,0,30-35
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1A UNIR Y FORTALECER LA IZQUIERDA,SAN JUAN,SUPLENTES,2,MARIA VIVIANA MATOS,F,40,1,35-40
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,SAN JUAN,TITULARES,1,VIRGINIA SILVIA SUTHERLAND,F,59,5,56-61
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,SAN JUAN,TITULARES,2,JESUS ADAN MAURO FLORES,M,36,1,35-40
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,SAN JUAN,SUPLENTES,1,LAURA ANDREA FERNANDEZ JALIFE,F,46,3,46-51
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,SAN JUAN,SUPLENTES,2,FRANCISCO JAVIER ARROYO BRISUELA,M,35,0,30-35
FRENTE UNIÓN POR LA PATRIA - SAN JUAN,SAN JUAN VUELVE,SAN JUAN,TITULARES,1,JUAN CARLOS GIOJA,M,65,6,61-66
FRENTE UNIÓN POR LA PATRIA - SAN JUAN,SAN JUAN VUELVE,SAN JUAN,TITULARES,2,SANDRA DANIELA CASTRO,F,38,1,35-40
FRENTE UNIÓN POR LA PATRIA - SAN JUAN,SAN JUAN VUELVE,SAN JUAN,SUPLENTES,1,JUAN PABLO GOMEZ GOMEZ,M,31,0,30-35
FRENTE UNIÓN POR LA PATRIA - SAN JUAN,SAN JUAN VUELVE,SAN JUAN,SUPLENTES,2,GLADYS PATRICIA DIAZ MARQUEZ,F,53,4,51-56
FRENTE UNIÓN POR LA PATRIA - SAN JUAN,VAMOS SAN JUAN,SAN JUAN,TITULARES,1,SERGIO MAURICIO UÑAC,M,53,4,51-56
FRENTE UNIÓN POR LA PATRIA - SAN JUAN,VAMOS SAN JUAN,SAN JUAN,TITULARES,2,MARIA CELESTE GIMENEZ NAVARRO,F,36,1,35-40
FRENTE UNIÓN POR LA PATRIA - SAN JUAN,VAMOS SAN JUAN,SAN JUAN,SUPLENTES,1,HUGO OSCAR DIAZ,M,60,5,56-61
FRENTE UNIÓN POR LA PATRIA - SAN JUAN,VAMOS SAN JUAN,SAN JUAN,SUPLENTES,2,MARCELA GEMA MONTI,F,46,3,46-51
LA LIBERTAD AVANZA,IDEAS DE LA LIBERTAD,SAN JUAN,TITULARES,1,BRUNO ANTONIO OLIVERA LUCERO,M,36,1,35-40
LA LIBERTAD AVANZA,IDEAS DE LA LIBERTAD,SAN JUAN,TITULARES,2,MARIANA ANTONELA CORIA,F,36,1,35-40
LA LIBERTAD AVANZA,IDEAS DE LA LIBERTAD,SAN JUAN,SUPLENTES,1,ENRIQUE DANIEL MONTAÑO,M,47,3,46-51
LA LIBERTAD AVANZA,IDEAS DE LA LIBERTAD,SAN JUAN,SUPLENTES,2,NOELIA MARIEL HERRERA IBAZETA,F,34,0,30-35
PARTIDO CRUZADA RENOVADORA,BLANCA UNIDAD,SAN JUAN,TITULARES,1,JOSE LUIS ALVARADO NARVAEZ,M,64,6,61-66
PARTIDO CRUZADA RENOVADORA,BLANCA UNIDAD,SAN JUAN,TITULARES,2,ADRIANA DEL VALLE AGUIRRE,F,59,5,56-61
PARTIDO CRUZADA RENOVADORA,BLANCA UNIDAD,SAN JUAN,SUPLENTES,1,FELIX ANTONIO JARA,M,65,6,61-66
PARTIDO CRUZADA RENOVADORA,BLANCA UNIDAD,SAN JUAN,SUPLENTES,2,MARIELA CRISTINA GARAY ORTIZ,F,51,4,51-56
PARTIDO MOVIMIENTO LIBRES DEL SUR - SIGLA L.D.S.,AZUL Y ROJO,SAN JUAN,TITULARES,1,JORGE DANIEL OCHOA RODRIGUEZ,M,46,3,46-51
PARTIDO MOVIMIENTO LIBRES DEL SUR - SIGLA L.D.S.,AZUL Y ROJO,SAN JUAN,TITULARES,2,SHIRLEY ROMINA PONCE MORTE,F,34,0,30-35
PARTIDO MOVIMIENTO LIBRES DEL SUR - SIGLA L.D.S.,AZUL Y ROJO,SAN JUAN,SUPLENTES,1,ROLANDO DIEGO RIVEROS,M,49,3,46-51
PARTIDO MOVIMIENTO LIBRES DEL SUR - SIGLA L.D.S.,AZUL Y ROJO,SAN JUAN,SUPLENTES,2,ISABEL GLADYS ELIZONDO,F,57,5,56-61
PARTIDO POPULAR,PRINCIPIO Y VALORES,SAN JUAN,TITULARES,1,ROBERTO EDUARDO NUÑEZ,M,51,4,51-56
PARTIDO POPULAR,PRINCIPIO Y VALORES,SAN JUAN,TITULARES,2,MARIA DE LOS ANGELES AVILA,F,42,2,40-46
PARTIDO POPULAR,PRINCIPIO Y VALORES,SAN JUAN,SUPLENTES,1,JUAN MANUEL AGÜERO,M,40,1,35-40
PARTIDO POPULAR,PRINCIPIO Y VALORES,SAN JUAN,SUPLENTES,2,MARIA ELIZABETH MOLINA,F,41,2,40-46
PARTIDO SOCIALISTA,HACEMOS UNIDOS POR SAN JUAN,SAN JUAN,TITULARES,1,LISANDRO NAHUEL CARDENAS BALMACEDA,M,34,0,30-35
PARTIDO SOCIALISTA,HACEMOS UNIDOS POR SAN JUAN,SAN JUAN,TITULARES,2,NELIDA DEL CARMEN PARRA,F,82,9,77-82
PARTIDO SOCIALISTA,HACEMOS UNIDOS POR SAN JUAN,SAN JUAN,SUPLENTES,1,LEONARDO RAUL DRAZIC,M,58,5,56-61
PARTIDO SOCIALISTA,HACEMOS UNIDOS POR SAN JUAN,SAN JUAN,SUPLENTES,2,VALERIA DEL VALLE QUINTANA,F,54,4,51-56
ALIANZA FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD  SAN LUIS,1B UNIDAD DE LUCHADORES Y LA IZQUIERDA,SAN LUIS,TITULARES,1,IVAN AMADO,M,37,1,35-40
ALIANZA FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD  SAN LUIS,1B UNIDAD DE LUCHADORES Y LA IZQUIERDA,SAN LUIS,TITULARES,2,SUSANA AMIEVA,F,63,6,61-66
ALIANZA FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD  SAN LUIS,1B UNIDAD DE LUCHADORES Y LA IZQUIERDA,SAN LUIS,SUPLENTES,1,JOSE LUIS SOLOA,M,48,3,46-51
ALIANZA FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD  SAN LUIS,1B UNIDAD DE LUCHADORES Y LA IZQUIERDA,SAN LUIS,SUPLENTES,2,MARCELA DAGFAL,F,60,5,56-61
ALIANZA FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD  SAN LUIS,UNIR Y FORTALECER LA IZQUIERDA (1A),SAN LUIS,TITULARES,1,JOHANA GOMEZ,F,35,0,30-35
ALIANZA FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD  SAN LUIS,UNIR Y FORTALECER LA IZQUIERDA (1A),SAN LUIS,TITULARES,2,NAHUEL ARIAS,M,33,0,30-35
ALIANZA FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD  SAN LUIS,UNIR Y FORTALECER LA IZQUIERDA (1A),SAN LUIS,SUPLENTES,1,SANDRA PONZIO,F,58,5,56-61
ALIANZA FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD  SAN LUIS,UNIR Y FORTALECER LA IZQUIERDA (1A),SAN LUIS,SUPLENTES,2,LUIS LOYOLA,M,42,2,40-46
ALIANZA LA LIBERTAD AVANZA SAN LUIS,DOGMA LIBERTARIO,SAN LUIS,TITULARES,1,BARTOLOME ESTEBAN ABDALA,M,59,5,56-61
ALIANZA LA LIBERTAD AVANZA SAN LUIS,DOGMA LIBERTARIO,SAN LUIS,TITULARES,2,IVANNA MARCELA ARRASCAETA,F,43,2,40-46
ALIANZA LA LIBERTAD AVANZA SAN LUIS,DOGMA LIBERTARIO,SAN LUIS,SUPLENTES,1,CARLOS OMAR VILA,M,60,5,56-61
ALIANZA LA LIBERTAD AVANZA SAN LUIS,DOGMA LIBERTARIO,SAN LUIS,SUPLENTES,2,GISELA ANABELLA GALINDEZ,F,48,3,46-51
JUNTOS POR EL CAMBIO  SAN LUIS,EL CAMBIO DE NUESTRAS VIDAS,SAN LUIS,TITULARES,1,GABRIELA GONZALEZ RIOLLO,F,38,1,35-40
JUNTOS POR EL CAMBIO  SAN LUIS,EL CAMBIO DE NUESTRAS VIDAS,SAN LUIS,TITULARES,2,FEDERICO ALBERTO TROMBOTTO,M,52,4,51-56
JUNTOS POR EL CAMBIO  SAN LUIS,EL CAMBIO DE NUESTRAS VIDAS,SAN LUIS,SUPLENTES,1,MARIA EUGENIA FERNANDEZ BERGESE,F,36,1,35-40
